batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.548682,0.317386,22.256041,2.859017,-0.000000
2,0.637826,0.228115,29.430123,2.774598,-0.000000
3,0.568245,0.261496,20.000388,2.707338,-0.000000
4,0.451710,0.333379,13.828029,2.654991,0.000000
5,0.580267,0.124492,19.036651,2.606937,-0.000000
6,0.591125,0.160877,17.531542,2.571994,-0.000000
7,0.633617,0.097505,20.310315,2.528980,0.000000
8,0.661516,0.089947,20.824314,2.479213,-0.000000
9,0.645038,0.049828,17.368156,2.446024,-0.000000
10,0.675794,0.046372,20.875030,2.416095,-0.000000
11,0.585670,0.092585,29.037958,2.384972,0.000000
12,0.675208,0.058386,23.598009,2.362208,0.000000
13,0.697469,0.059448,23.826195,2.325916,0.000000
14,0.744172,0.053140,24.618097,2.295525,0.000000
15,0.709844,0.041043,24.386692,2.281599,-0.000000
16,0.681579,0.101492,29.735777,2.255265,0.000000
17,0.705255,0.062877,32.785672,2.221837,-0.000000
18,0.687719,0.053850,36.778044,2.207693,0.000000
19,0.727583,0.538476,34.624978,2.202191,-0.000000
20,0.746094,0.567864,28.690672,2.181881,-0.000000
21,0.788167,0.195840,31.405728,2.164759,-0.000000
22,0.801120,0.034244,34.430772,2.161557,-0.000000
23,0.786505,0.010139,38.072882,2.164144,0.000000
24,0.774248,0.044969,36.192023,2.174706,-0.000000
25,0.791399,0.022295,38.214337,2.185999,-0.000000
26,0.770199,0.017488,39.194253,2.177703,0.000000
27,0.789078,0.186882,43.754974,2.154947,-0.000000
28,0.816900,0.063582,39.326119,2.133172,-0.000000
29,0.802842,0.027354,40.531267,2.118665,0.000000
30,0.817226,0.099135,42.511711,2.108872,0.000000
31,0.826818,0.076734,42.627198,2.090060,-0.000000
32,0.818620,0.009218,44.853215,2.077401,0.000000
33,0.772278,0.571252,50.707652,2.073445,-0.000000
34,0.819529,0.030703,40.939488,2.078403,-0.000000
35,0.825920,0.132639,41.236513,2.072475,-0.000000
36,0.823980,0.221857,43.412779,2.052337,0.000000
37,0.762402,0.018445,52.477912,2.029946,0.000000
38,0.816114,0.014164,41.077623,2.009642,-0.000000
39,0.815951,0.005830,40.113075,2.013484,0.000000
40,0.809187,0.150098,39.326204,2.040496,-0.000000
41,0.792144,0.005160,29.640571,2.045081,-0.000000
42,0.772416,0.057059,34.599949,2.037685,0.000000
43,0.794362,0.010789,29.200711,2.044125,0.000000
44,0.796200,0.013957,24.631528,2.047248,-0.000000
45,0.800675,0.019742,22.499002,2.039724,-0.000000
46,0.812492,0.065993,36.884635,2.033578,0.000000
47,0.821283,-0.000820,31.554407,2.034268,0.000000
48,0.816851,0.104074,45.472930,2.040517,-0.000000
49,0.831683,0.002747,36.289161,2.045695,0.000000
50,0.836020,0.020404,35.095377,2.048732,-0.000000
51,0.834053,0.051260,47.694869,2.054313,-0.000000
52,0.839509,0.010759,53.753743,2.046253,0.000000
53,0.797252,0.011802,67.729450,2.034598,0.000000
54,0.812782,0.053085,51.808590,2.022915,-0.000000
55,0.762078,0.042157,74.236633,2.007700,-0.000000
56,0.782133,0.009483,57.790157,2.002820,-0.000000
57,0.835942,0.030313,41.099709,2.005534,0.000000
58,0.820347,0.037643,46.163754,2.014060,-0.000000
59,0.755810,0.003717,73.700655,2.022360,-0.000000
60,0.685743,0.061931,73.443643,2.021991,0.000000
