batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.608125,0.193557,29.163817,2.865126,0.000000
2,0.517452,0.130572,19.279517,2.790580,-0.000000
3,0.642489,0.165770,29.450613,2.718818,0.000000
4,0.595535,1.298916,22.563200,2.652846,-0.000000
5,0.618525,0.334778,23.438348,2.590102,-0.000000
6,0.725627,0.091958,30.811936,2.526547,-0.000000
7,0.723063,0.100801,29.566692,2.478187,0.000000
8,0.665669,0.081296,21.850901,2.457093,0.000000
9,0.728882,0.038455,25.651814,2.438211,-0.000000
10,0.654558,0.174112,23.932238,2.404998,0.000000
11,0.638046,0.029521,20.350945,2.373033,-0.000000
12,0.690009,0.021659,24.580984,2.353682,-0.000000
13,0.649255,0.033293,19.389947,2.327857,-0.000000
14,0.595869,0.083764,23.421232,2.323878,0.000000
15,0.577518,0.022429,22.274891,2.306214,-0.000000
16,0.605977,0.079820,26.002692,2.272410,0.000000
17,0.559886,0.003725,25.038263,2.262370,0.000000
18,0.612541,0.032100,23.678046,2.270217,0.000000
19,0.573516,0.165933,24.447638,2.264561,-0.000000
20,0.651376,0.021646,22.317796,2.256303,-0.000000
21,0.669945,0.661298,23.106930,2.240482,0.000000
22,0.706186,0.029598,22.438594,2.206297,-0.000000
23,0.725078,0.033404,26.319589,2.189306,-0.000000
24,0.729415,0.321873,25.412885,2.177856,0.000000
25,0.741345,0.109427,28.465984,2.164258,0.000000
26,0.766425,0.028015,29.305137,2.155771,0.000000
27,0.797410,0.027293,30.531473,2.134969,-0.000000
28,0.695360,0.041850,50.310589,2.113160,-0.000000
29,0.769527,0.051489,23.684810,2.099900,0.000000
30,0.713686,0.039100,35.594561,2.090300,0.000000
31,0.746805,0.012085,21.084701,2.084022,-0.000000
32,0.767602,0.010361,18.650179,2.080898,-0.000000
33,0.769553,0.281926,16.308643,2.081851,0.000000
34,0.783849,0.079816,14.369819,2.072014,-0.000000
35,0.743025,0.044636,7.537773,2.063039,0.000000
36,0.665956,0.020505,90.655329,2.055956,-0.000000
37,0.764942,0.020897,47.739313,2.062700,-0.000000
38,0.637589,0.400443,86.597109,2.053994,0.000000
39,0.728627,0.024530,61.218414,2.043594,0.000000
40,0.622075,0.027516,85.446492,2.042122,0.000000
41,0.784110,0.090073,44.088274,2.028574,0.000000
42,0.789918,0.053778,16.893190,2.019661,-0.000000
43,0.795235,0.056461,24.179847,2.014974,-0.000000
44,0.823141,0.062252,24.695156,2.005153,-0.000000
45,0.821212,0.062139,20.820132,1.974129,0.000000
46,0.806142,0.014337,19.343585,1.942125,0.000000
47,0.826061,0.043975,35.777027,1.942696,-0.000000
48,0.827145,0.007187,22.483402,1.939943,-0.000000
49,0.828487,0.029419,26.231027,1.932321,0.000000
50,0.833032,0.007101,38.352666,1.927347,-0.000000
51,0.790776,0.039303,46.973679,1.937624,0.000000
52,0.836129,0.036924,32.957650,1.940292,-0.000000
53,0.845882,0.030768,42.467340,1.934084,-0.000000
54,0.839179,0.028158,31.346801,1.938727,-0.000000
55,0.840845,0.006630,36.553641,1.944159,0.000000
56,0.844970,0.026634,38.275614,1.945310,0.000000
57,0.843212,0.005880,48.226353,1.944414,0.000000
58,0.839764,0.032296,24.654342,1.933948,0.000000
59,0.833139,0.054240,53.110967,1.910523,-0.000000
60,0.693348,0.014415,126.327046,1.893034,0.000000
61,0.836858,1.435809,41.186807,1.895682,-0.000000
62,0.848046,0.090111,36.913802,1.907463,-0.000000
63,0.842272,0.033941,30.723801,1.902650,-0.000000
64,0.834202,0.001130,43.608263,1.903213,-0.000000
65,0.837956,0.001930,20.783794,1.926538,-0.000000
66,0.805771,0.010062,56.567581,1.932884,-0.000000
