batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.466474,0.232984,9.719243,2.867519,-0.000000
2,0.496500,0.442859,11.268903,2.802778,0.000000
3,0.442733,0.183442,8.890045,2.746116,0.000000
4,0.447361,0.193203,8.397113,2.688651,0.000000
5,0.461731,0.247888,18.990627,2.652095,-0.000000
6,0.433204,0.149646,18.228290,2.621798,-0.000000
7,0.461707,4.359047,13.709190,2.580047,0.000000
8,0.417235,0.234878,17.493739,2.548968,-0.000000
9,0.424984,0.086925,14.773347,2.516686,-0.000000
10,0.400360,0.145861,18.628548,2.487096,0.000000
11,0.405664,0.131446,20.114260,2.459770,-0.000000
12,0.414951,0.222689,16.997314,2.417198,0.000000
13,0.401514,0.113227,19.178129,2.377463,0.000000
14,0.398690,0.239914,17.952336,2.351988,-0.000000
15,0.400448,0.095605,16.260829,2.318727,0.000000
16,0.400184,0.058411,15.942148,2.285286,0.000000
17,0.383576,0.063799,16.944069,2.259804,-0.000000
18,0.394429,0.188959,13.170487,2.249276,0.000000
19,0.401418,0.100570,13.371337,2.221109,0.000000
20,0.399380,0.034832,14.309576,2.177821,0.000000
21,0.452397,0.019273,14.178924,2.142489,0.000000
22,0.401139,0.031787,14.473052,2.117475,0.000000
23,0.399132,0.100534,12.008707,2.094196,-0.000000
24,0.399146,0.016079,12.262669,2.077505,0.000000
25,0.397404,0.023705,13.383900,2.080443,0.000000
26,0.387980,0.105218,12.340789,2.072560,0.000000
27,0.397920,0.037928,11.684798,2.069012,0.000000
28,0.400325,0.186339,11.749744,2.058330,-0.000000
29,0.434783,0.058404,11.271599,2.040514,0.000000
30,0.406331,0.083603,10.507096,2.020835,-0.000000
31,0.410126,0.063936,11.029395,2.014016,0.000000
32,0.411903,0.021789,10.526371,2.012673,-0.000000
33,0.420449,0.005989,10.118815,2.017056,0.000000
34,0.429809,0.027038,12.384625,2.007017,0.000000
35,0.436303,0.041405,11.338742,1.973976,0.000000
36,0.452839,0.056158,11.789726,1.936967,-0.000000
37,0.436696,0.057468,11.376909,1.900707,0.000000
38,0.412075,0.049587,11.730667,1.871228,0.000000
39,0.402992,0.018455,12.190251,1.855515,0.000000
40,0.395840,0.204918,11.932204,1.845001,0.000000
41,0.403736,0.059174,9.218766,1.841094,0.000000
42,0.399100,0.014223,9.831013,1.849376,0.000000
43,0.396831,0.057759,10.897361,1.852595,0.000000
44,0.401063,0.020670,8.958508,1.849066,-0.000000
45,0.392922,0.018787,8.169169,1.835117,-0.000000
46,0.388280,0.042326,8.687234,1.827315,-0.000000
47,0.391945,0.033356,8.444911,1.819736,0.000000
48,0.388583,0.035637,7.540116,1.808325,0.000000
49,0.378707,0.037977,8.497072,1.808767,0.000000
50,0.378409,0.017404,7.328455,1.822921,0.000000
51,0.390209,0.030799,6.198638,1.819232,0.000000
