batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.418989,0.434537,8.217153,2.869538,0.000000
2,0.412754,0.198893,6.540998,2.800264,0.000000
3,0.405006,0.143495,5.351296,2.752723,-0.000000
4,0.415364,0.486100,6.006731,2.711584,0.000000
5,0.428329,0.089297,6.626874,2.658562,0.000000
6,0.429837,0.104742,9.471081,2.598952,0.000000
7,0.412887,0.103881,6.214467,2.556577,0.000000
8,0.422396,0.179592,7.474091,2.509029,-0.000000
9,0.410754,0.134541,5.283675,2.457898,0.000000
10,0.432572,0.039846,7.439111,2.414063,-0.000000
11,0.463496,0.188002,5.682952,2.355769,-0.000000
12,0.456265,0.052565,8.428028,2.301686,0.000000
13,0.479066,0.216380,6.739113,2.274362,0.000000
14,0.486623,0.729601,6.515678,2.250579,-0.000000
15,0.486375,0.093163,6.733253,2.219288,-0.000000
16,0.494186,3.600195,4.083766,2.178954,-0.000000
17,0.466997,0.105329,10.386591,2.128903,0.000000
18,0.474406,0.044850,5.394609,2.096150,0.000000
19,0.471861,0.044061,10.260107,2.068479,-0.000000
20,0.495432,0.021432,10.393751,2.053883,0.000000
21,0.532971,0.107744,5.886289,2.034685,0.000000
22,0.458852,0.016654,7.760689,2.006762,0.000000
23,0.487994,0.033228,5.510134,1.994077,0.000000
24,0.563933,0.171338,9.332344,1.978123,-0.000000
25,0.604674,0.046357,10.177840,1.962129,-0.000000
26,0.569472,0.053380,10.084070,1.933896,0.000000
27,0.604278,0.018988,5.867654,1.907100,-0.000000
28,0.619488,0.096556,13.942859,1.891598,-0.000000
29,0.623894,0.009900,9.347522,1.874031,0.000000
30,0.640241,0.030148,13.334300,1.860736,-0.000000
31,0.608049,0.024807,8.682799,1.837090,0.000000
32,0.538750,0.044801,2.993721,1.803967,-0.000000
33,0.508757,0.021826,6.446265,1.781088,0.000000
34,0.645892,0.009146,12.095384,1.773283,0.000000
35,0.630069,0.015923,8.659442,1.764321,-0.000000
36,0.576815,0.040427,1.879376,1.752080,-0.000000
37,0.667340,-0.000402,15.862257,1.748276,-0.000000
38,0.603096,0.033477,18.110569,1.754212,-0.000000
39,0.602677,0.031864,7.524002,1.757209,0.000000
40,0.619203,0.040626,6.522141,1.754763,0.000000
41,0.633815,0.092016,9.546414,1.755965,0.000000
42,0.612628,0.015656,13.704021,1.747928,-0.000000
43,0.664798,0.027129,12.949491,1.736625,0.000000
44,0.670671,0.032375,7.495210,1.733276,-0.000000
45,0.695093,0.045763,4.179207,1.739912,-0.000000
46,0.537350,0.005220,6.350386,1.738122,0.000000
47,0.637542,0.007559,8.198276,1.734311,0.000000
48,0.649592,0.030727,6.740919,1.726419,0.000000
49,0.651383,0.022676,4.265471,1.715222,-0.000000
50,0.657016,0.013477,4.215898,1.704192,-0.000000
51,0.687174,0.022986,13.322068,1.681084,0.000000
52,0.586043,0.044539,2.506173,1.650102,-0.000000
53,0.618872,0.013740,3.257757,1.612797,-0.000000
54,0.693464,-0.001324,5.754077,1.596307,0.000000
55,0.590255,0.032158,7.253778,1.609731,0.000000
56,0.626788,0.145585,4.402254,1.610819,0.000000
57,0.676819,0.028332,18.253786,1.601448,0.000000
58,0.668090,0.005542,8.204071,1.599852,-0.000000
59,0.658018,0.008658,1.994657,1.594653,0.000000
60,0.656061,0.001839,13.208420,1.601571,-0.000000
61,0.673342,0.014232,8.524695,1.611373,0.000000
62,0.744638,0.030858,2.480770,1.608370,0.000000
63,0.630581,0.014503,2.871842,1.586725,0.000000
64,0.717920,-0.002761,9.452741,1.585222,-0.000000
65,0.710641,0.001580,3.096736,1.584456,-0.000000
66,0.663100,-0.001238,15.572273,1.585960,0.000000
67,0.719494,0.000219,2.216476,1.604447,0.000000
68,0.737337,0.007267,5.875574,1.610432,0.000000
69,0.712134,0.006192,11.741616,1.614390,0.000000
70,0.732511,0.034848,11.025769,1.620684,-0.000000
71,0.710648,1.369271,11.812891,1.635763,0.000000
72,0.734161,0.023243,4.707697,1.655237,-0.000000
73,0.689898,0.014818,8.067413,1.667421,0.000000
74,0.704795,0.004192,9.909697,1.671219,-0.000000
75,0.722164,0.034496,14.807489,1.670185,-0.000000
76,0.723655,-0.001357,6.924568,1.658838,-0.000000
77,0.686024,0.086801,6.192523,1.646903,0.000000
78,0.730726,0.012769,6.554447,1.639439,-0.000000
79,0.749350,0.072014,8.862724,1.624964,0.000000
80,0.681190,-0.006336,3.429370,1.612883,-0.000000
81,0.713224,0.002157,5.954878,1.602678,-0.000000
82,0.717410,0.009962,9.373234,1.584542,0.000000
83,0.736971,0.005739,8.921541,1.572366,0.000000
84,0.724922,0.017465,4.266792,1.559499,-0.000000
85,0.736796,0.018683,5.487911,1.551112,-0.000000
86,0.702476,0.010307,3.851294,1.542351,0.000000
87,0.712311,0.040759,2.889212,1.524129,-0.000000
88,0.695062,0.018529,5.271319,1.504185,-0.000000
89,0.638626,0.003143,8.667938,1.501517,0.000000
90,0.713368,0.035115,3.826018,1.505921,-0.000000
91,0.691277,0.023029,4.725453,1.509023,0.000000
92,0.700319,0.028359,2.041768,1.511190,0.000000
93,0.670020,0.069960,1.411713,1.512935,-0.000000
94,0.673146,0.068625,5.714589,1.505300,-0.000000
95,0.705545,0.016887,1.940107,1.497679,-0.000000
96,0.716641,0.055577,4.498724,1.483652,-0.000000
97,0.720482,0.034655,9.934650,1.463484,-0.000000
98,0.691821,0.102204,4.995220,1.453312,-0.000000
99,0.707341,0.010395,5.338929,1.457751,-0.000000
100,0.741893,0.016486,6.482307,1.485945,-0.000000
101,0.729541,0.107458,2.228940,1.503482,0.000000
102,0.756846,0.008754,3.849301,1.500181,-0.000000
103,0.723170,0.051250,6.106432,1.491216,-0.000000
104,0.742979,0.008648,5.820301,1.483790,-0.000000
105,0.788895,0.025350,11.389509,1.490843,-0.000000
106,0.754022,0.023022,7.013155,1.480533,-0.000000
107,0.731509,0.035706,3.045227,1.437922,-0.000000
108,0.786723,-0.000750,9.132530,1.431231,-0.000000
109,0.773467,0.000407,12.544579,1.446742,0.000000
110,0.752756,0.014245,6.103363,1.440109,0.000000
111,0.747896,-0.006794,4.281636,1.434761,-0.000000
112,0.759253,0.002639,8.823870,1.434671,-0.000000
113,0.773070,0.053218,9.808169,1.446179,0.000000
