batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.407485,0.647947,7.625073,2.878744,0.000000
2,0.463745,0.169826,7.854413,2.841685,0.000000
3,0.393906,0.178959,8.171481,2.802974,0.000000
4,0.438891,0.168582,5.994206,2.740912,-0.000000
5,0.403000,0.150835,6.830986,2.676582,0.000000
6,0.394763,0.173035,5.818699,2.616863,0.000000
7,0.377499,0.298459,6.582011,2.547952,-0.000000
8,0.385719,0.053053,4.269191,2.497573,0.000000
9,0.395208,0.132036,3.766812,2.453989,-0.000000
10,0.391344,0.061103,5.006239,2.401001,-0.000000
11,0.445562,0.098565,5.895402,2.360687,0.000000
12,0.445881,0.142714,3.450128,2.335576,-0.000000
13,0.509163,0.020248,7.449034,2.315829,0.000000
14,0.501511,0.085215,6.763616,2.298935,0.000000
15,0.500383,0.137209,4.383703,2.266486,-0.000000
16,0.481474,0.057764,8.853228,2.236457,0.000000
17,0.489913,0.140134,7.555129,2.209493,-0.000000
18,0.482767,0.234173,10.155639,2.157748,0.000000
19,0.476008,0.077439,9.848334,2.112524,0.000000
20,0.536757,0.036017,12.414432,2.090086,-0.000000
21,0.557586,0.528401,5.780975,2.065866,0.000000
22,0.536964,0.034293,3.790961,2.041882,-0.000000
23,0.489802,0.461710,2.002508,2.013579,0.000000
24,0.513284,0.376080,14.402067,1.995670,-0.000000
25,0.554226,0.047817,1.526257,1.976032,0.000000
26,0.554367,0.334545,6.737209,1.964934,-0.000000
27,0.544464,0.027752,5.784585,1.971179,0.000000
28,0.536828,0.003794,3.727988,1.965729,0.000000
29,0.577784,1.764503,4.222016,1.946658,0.000000
30,0.531602,0.002151,17.928335,1.935506,0.000000
31,0.565430,0.037373,1.130108,1.935059,0.000000
32,0.536320,-0.000488,3.515758,1.910717,-0.000000
33,0.585051,0.025379,2.308713,1.878609,0.000000
34,0.586579,0.019359,4.589317,1.863323,-0.000000
35,0.601958,0.026729,10.554328,1.851244,-0.000000
36,0.596998,0.013257,9.844951,1.844388,0.000000
37,0.573586,0.030007,6.721272,1.835354,-0.000000
38,0.585326,0.024553,3.394006,1.819332,0.000000
39,0.589893,0.030462,2.545063,1.793780,0.000000
40,0.606215,0.009004,8.131005,1.772132,-0.000000
41,0.604736,0.045490,13.562525,1.784394,0.000000
42,0.600279,0.103338,1.605761,1.780035,-0.000000
43,0.606337,0.002671,23.213258,1.762479,-0.000000
44,0.596241,0.012079,18.034940,1.758543,-0.000000
45,0.623791,0.018170,19.148882,1.755077,-0.000000
46,0.588387,0.499328,21.447261,1.759722,-0.000000
47,0.599107,0.005252,17.013401,1.774995,0.000000
48,0.630089,0.012292,14.312443,1.777527,0.000000
49,0.650771,0.007071,16.471447,1.772168,-0.000000
50,0.614301,0.056154,12.512289,1.757765,0.000000
51,0.681352,0.100041,6.839685,1.739321,-0.000000
52,0.583644,0.027610,8.811021,1.737190,-0.000000
53,0.599769,0.042368,4.054895,1.731237,0.000000
54,0.638759,0.033859,11.275765,1.709774,-0.000000
55,0.529900,0.037869,11.783577,1.708398,0.000000
56,0.606592,0.036963,4.349931,1.721662,0.000000
57,0.648191,0.018125,5.960353,1.722997,0.000000
58,0.624102,0.002073,10.076043,1.733115,0.000000
59,0.673044,0.003976,15.206179,1.736393,0.000000
60,0.661323,-0.002359,17.449281,1.731170,0.000000
61,0.651810,0.013504,11.034590,1.713427,-0.000000
62,0.688904,0.030471,10.185733,1.677177,-0.000000
63,0.698787,0.001267,8.711606,1.665293,-0.000000
64,0.674426,0.019906,12.088462,1.675763,0.000000
65,0.676134,0.059024,8.415383,1.694928,-0.000000
66,0.721142,0.006814,10.225945,1.702464,-0.000000
67,0.724166,0.021636,9.132209,1.715488,-0.000000
68,0.712928,0.011312,11.419034,1.723721,0.000000
69,0.748003,0.009373,9.756498,1.728720,-0.000000
70,0.746900,0.004878,17.044289,1.746923,-0.000000
71,0.730605,0.026655,12.139724,1.764378,0.000000
72,0.718916,0.074645,12.382543,1.756140,0.000000
73,0.724447,0.016573,9.076091,1.755532,0.000000
74,0.737719,0.344461,8.780571,1.757423,0.000000
75,0.722633,-0.004006,11.417234,1.759374,-0.000000
76,0.691374,0.079886,6.575108,1.750889,0.000000
77,0.760675,0.051172,18.267348,1.733659,-0.000000
78,0.713405,0.483842,11.728123,1.734793,0.000000
79,0.693626,0.007445,5.782132,1.734998,0.000000
80,0.720305,0.047735,11.193860,1.726790,0.000000
81,0.694218,0.009718,6.119024,1.718121,-0.000000
82,0.729010,0.047418,7.123816,1.698330,0.000000
83,0.700754,0.113426,4.116703,1.663962,0.000000
84,0.706738,0.463683,8.678870,1.652409,-0.000000
85,0.743318,0.013825,16.615785,1.651973,-0.000000
86,0.713505,0.001192,10.352753,1.649327,0.000000
87,0.743084,0.003447,11.983774,1.665318,-0.000000
88,0.701671,0.039295,7.248486,1.681624,0.000000
89,0.739807,0.046401,10.028581,1.683816,0.000000
90,0.728405,0.002867,4.691763,1.665575,-0.000000
91,0.769297,-0.000100,12.709265,1.665111,-0.000000
92,0.756285,0.006370,10.081289,1.676871,-0.000000
93,0.763137,0.009922,6.115903,1.669705,-0.000000
94,0.756620,0.031892,6.595106,1.652856,0.000000
95,0.769829,-0.000331,12.035563,1.651453,-0.000000
96,0.740528,0.021677,3.572667,1.657658,0.000000
97,0.743728,0.012494,2.909310,1.653166,-0.000000
98,0.744609,0.005095,4.144665,1.651545,-0.000000
99,0.759317,0.061358,7.669614,1.656667,-0.000000
100,0.734322,0.050001,6.378727,1.648328,-0.000000
101,0.704414,0.017695,7.979716,1.646758,0.000000
102,0.659454,0.005366,6.206976,1.634682,0.000000
103,0.674183,0.015335,12.055009,1.617897,0.000000
104,0.722791,0.010097,9.214504,1.602174,0.000000
105,0.615488,0.072440,11.593240,1.585626,0.000000
106,0.616112,0.014002,12.314767,1.567658,-0.000000
107,0.601282,0.089255,10.408334,1.550381,0.000000
108,0.620017,0.007428,4.097506,1.534468,0.000000
109,0.680243,0.028362,10.840113,1.536860,-0.000000
110,0.717001,0.010983,7.631859,1.540109,-0.000000
111,0.705538,0.035104,3.515090,1.520893,0.000000
112,0.766687,0.023107,19.606016,1.512783,0.000000
113,0.772427,0.008202,19.992561,1.518258,0.000000
114,0.768583,-0.001658,10.849375,1.521584,0.000000
115,0.767910,0.007760,7.743564,1.518724,-0.000000
116,0.760937,0.067824,7.740031,1.508595,-0.000000
