batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.440846,0.559386,9.477813,2.868746,0.000000
2,0.426826,0.561276,7.418093,2.803084,0.000000
3,0.433390,0.354119,8.021697,2.753515,-0.000000
4,0.477764,0.180993,12.387650,2.704206,-0.000000
5,0.416782,0.342124,12.392401,2.653987,0.000000
6,0.441830,1.111654,11.517304,2.605386,-0.000000
7,0.470597,0.046042,19.153674,2.572804,-0.000000
8,0.473175,0.077773,15.982895,2.560734,-0.000000
9,0.445360,0.080555,22.048395,2.520202,-0.000000
10,0.418926,0.066300,23.137369,2.471514,-0.000000
11,0.471150,0.824553,15.431115,2.439497,0.000000
12,0.478046,0.126418,13.237321,2.406636,0.000000
13,0.407796,0.173442,28.151260,2.364544,-0.000000
14,0.400627,0.110739,23.216625,2.318992,0.000000
15,0.394698,0.090999,24.799554,2.283435,0.000000
16,0.386559,0.138850,20.729370,2.245105,-0.000000
17,0.387590,0.023701,20.117917,2.212754,0.000000
18,0.375860,0.026457,19.030455,2.196386,-0.000000
19,0.386374,0.044079,15.518827,2.187084,-0.000000
20,0.392355,0.163753,16.012975,2.182145,-0.000000
21,0.397480,0.081114,14.911777,2.155734,-0.000000
22,0.394986,0.009262,16.050136,2.133503,0.000000
23,0.394957,0.049342,13.910589,2.116824,-0.000000
24,0.403680,0.215848,14.468936,2.105288,0.000000
25,0.397531,0.086058,16.296844,2.095733,-0.000000
26,0.395169,0.173687,15.487975,2.066600,0.000000
27,0.389676,0.022908,15.331335,2.051180,0.000000
28,0.400781,0.113844,13.837124,2.043929,-0.000000
29,0.404057,0.242401,14.051521,2.032539,0.000000
30,0.383315,0.113016,14.417618,2.008307,-0.000000
31,0.391058,0.695565,15.239357,1.974882,-0.000000
32,0.396083,0.048077,12.712862,1.961829,-0.000000
33,0.387289,0.114823,13.793316,1.951321,0.000000
34,0.394456,0.494392,13.489587,1.926155,0.000000
35,0.376922,0.034885,13.980948,1.907617,-0.000000
36,0.383656,0.047893,13.961893,1.884012,-0.000000
37,0.374630,0.041141,12.346523,1.872531,0.000000
38,0.375862,0.018075,11.954820,1.871320,-0.000000
39,0.380383,0.038453,12.607958,1.874299,0.000000
40,0.380060,0.086407,11.695593,1.866154,-0.000000
41,0.375049,0.018457,12.454116,1.861061,0.000000
42,0.379578,0.063896,12.643812,1.861421,0.000000
43,0.379027,0.103367,11.090727,1.852439,-0.000000
44,0.376588,0.075929,11.683256,1.849504,-0.000000
45,0.375396,0.012753,11.100951,1.855532,-0.000000
46,0.381112,0.057822,9.757332,1.859611,0.000000
47,0.387028,0.020297,11.165725,1.852615,0.000000
48,0.385553,0.090597,10.652371,1.849124,0.000000
49,0.388885,0.075401,10.567950,1.831186,0.000000
50,0.386773,0.042197,10.519017,1.810207,0.000000
51,0.390819,0.062458,10.302293,1.796198,0.000000
52,0.404001,0.016488,10.975518,1.771470,0.000000
53,0.392569,0.042895,10.597638,1.765833,-0.000000
54,0.396378,0.004891,10.206359,1.767277,-0.000000
55,0.391391,0.032624,10.748590,1.760588,0.000000
56,0.388325,0.047427,10.567276,1.763460,-0.000000
57,0.392764,0.013536,11.051095,1.757702,0.000000
58,0.391281,0.012813,10.341117,1.745830,0.000000
59,0.394601,0.013361,9.920446,1.751124,-0.000000
60,0.398454,0.022468,9.778955,1.749872,0.000000
61,0.399430,0.006734,11.043530,1.754468,0.000000
62,0.400019,0.009747,10.185174,1.758919,0.000000
63,0.388437,0.006340,10.614852,1.763193,-0.000000
64,0.396056,0.005395,9.833086,1.778344,-0.000000
65,0.395704,0.011305,9.389521,1.785507,-0.000000
66,0.398076,0.058617,10.019120,1.776099,0.000000
67,0.399445,0.021569,10.698639,1.770439,-0.000000
68,0.405119,0.025346,9.774447,1.765865,0.000000
69,0.400497,0.025498,9.434431,1.757930,-0.000000
70,0.398097,0.003394,9.952734,1.738544,-0.000000
71,0.401839,0.018548,9.438811,1.725934,0.000000
72,0.401851,0.004012,9.856914,1.732094,-0.000000
73,0.390825,0.010053,9.240615,1.755049,0.000000
74,0.387756,0.064037,9.612053,1.768941,-0.000000
75,0.384187,0.036352,9.264503,1.770186,-0.000000
76,0.390077,0.025363,10.282933,1.761016,0.000000
77,0.388060,0.038698,9.178178,1.754711,0.000000
78,0.380818,0.009381,9.571488,1.757927,0.000000
79,0.392302,0.015777,9.331676,1.765584,-0.000000
80,0.385944,0.007960,9.267549,1.767761,0.000000
81,0.387315,0.005213,8.745194,1.780233,-0.000000
82,0.389820,0.037277,8.705128,1.790825,-0.000000
83,0.385239,0.032876,8.395650,1.790011,-0.000000
84,0.386911,0.057425,8.750895,1.789220,-0.000000
85,0.376075,0.012516,9.185792,1.777171,0.000000
86,0.383638,0.023053,8.271899,1.749975,-0.000000
87,0.378963,0.004197,7.700496,1.737976,0.000000
88,0.387977,0.035620,8.393472,1.735991,0.000000
89,0.386644,0.069334,7.973082,1.720530,-0.000000
90,0.393281,0.034819,7.614794,1.719868,-0.000000
91,0.396336,0.093079,8.554540,1.713771,0.000000
92,0.395820,0.009795,7.448467,1.697011,0.000000
93,0.387398,0.003998,7.269893,1.681997,0.000000
94,0.394388,0.024845,7.447921,1.669252,0.000000
95,0.390532,0.007608,7.421946,1.665664,0.000000
96,0.391484,0.324199,7.717207,1.660606,0.000000
97,0.387844,0.122253,7.525914,1.653153,-0.000000
98,0.381660,0.012044,7.194967,1.650849,-0.000000
99,0.382355,0.010579,7.149580,1.647766,0.000000
100,0.383932,0.178317,7.406536,1.651505,0.000000
101,0.385475,0.018647,6.889378,1.649522,-0.000000
102,0.383904,0.037564,6.799551,1.653642,-0.000000
103,0.395755,0.032212,8.420919,1.660474,0.000000
104,0.404645,0.007995,6.314036,1.655806,-0.000000
105,0.399097,0.012152,6.926161,1.655258,-0.000000
106,0.394169,0.047445,6.992125,1.664313,0.000000
107,0.394078,0.027490,7.703569,1.672386,-0.000000
108,0.390662,0.005495,7.323893,1.660417,0.000000
109,0.389064,0.041091,7.529720,1.653027,-0.000000
110,0.389520,0.009141,6.622155,1.660176,0.000000
111,0.422839,0.276443,6.531219,1.666955,0.000000
112,0.430413,0.005032,6.566094,1.661935,-0.000000
113,0.457673,0.020561,8.481244,1.659361,-0.000000
114,0.465657,0.011826,9.855995,1.652211,-0.000000
115,0.472584,0.595459,9.749424,1.642093,0.000000
116,0.405305,0.160140,12.026944,1.638139,-0.000000
117,0.398271,0.019093,8.324721,1.633239,-0.000000
118,0.410426,0.042236,8.172896,1.625495,-0.000000
119,0.392211,0.055356,8.810830,1.614860,-0.000000
120,0.395010,-0.002329,7.163082,1.616735,0.000000
121,0.391098,0.022456,6.841333,1.634769,0.000000
122,0.387361,0.033697,6.778183,1.636414,-0.000000
123,0.386895,0.017273,6.663734,1.622532,-0.000000
124,0.410954,0.038019,5.653600,1.609616,-0.000000
125,0.388443,0.034729,6.289655,1.595447,0.000000
126,0.388402,0.021073,6.217213,1.583150,-0.000000
127,0.385079,0.050885,5.840022,1.584201,0.000000
128,0.389154,0.020824,5.019762,1.576791,-0.000000
129,0.392858,0.038174,5.680654,1.567763,0.000000
130,0.408475,0.096859,5.069660,1.557374,0.000000
131,0.428946,0.763000,5.838593,1.550972,0.000000
132,0.412277,0.008798,5.824076,1.556427,-0.000000
133,0.418132,0.067173,5.853547,1.558546,-0.000000
134,0.429329,0.014802,5.394623,1.564336,0.000000
135,0.456286,0.031057,6.044474,1.561155,0.000000
136,0.427759,-0.002175,6.171621,1.564176,0.000000
137,0.442338,0.006220,7.107238,1.575621,0.000000
138,0.483972,0.027521,7.335238,1.580340,0.000000
139,0.485785,0.021565,10.117504,1.578370,0.000000
140,0.429216,0.045546,8.918738,1.565786,0.000000
141,0.451943,0.008223,7.855041,1.561575,0.000000
142,0.467619,0.004663,7.216629,1.553746,-0.000000
143,0.476318,0.129739,10.632405,1.544554,0.000000
144,0.424118,0.050969,7.276500,1.527151,-0.000000
145,0.442149,0.011394,7.198135,1.532061,-0.000000
146,0.437551,-0.002075,8.586012,1.545721,0.000000
147,0.435920,0.043541,6.853084,1.554356,0.000000
148,0.451375,0.017067,7.446332,1.550056,-0.000000
149,0.439142,0.187593,7.438113,1.535102,0.000000
150,0.472504,0.344970,7.315701,1.531534,-0.000000
151,0.446613,0.035478,7.137171,1.528063,0.000000
152,0.445831,0.201438,8.887128,1.524931,0.000000
153,0.460487,0.014242,7.043504,1.525221,0.000000
154,0.477476,0.063313,7.382074,1.532893,0.000000
155,0.475842,0.018622,7.564229,1.535539,-0.000000
156,0.555135,0.054710,8.378122,1.517283,0.000000
157,0.512978,0.010162,9.614434,1.505699,-0.000000
158,0.554757,0.008718,13.567501,1.498667,0.000000
159,0.464852,0.077085,13.215438,1.492570,0.000000
160,0.434214,0.005158,9.881042,1.483978,-0.000000
161,0.477237,0.599829,9.409798,1.476492,-0.000000
162,0.542962,0.014672,10.590636,1.463716,-0.000000
163,0.500888,-0.003930,9.333630,1.458565,0.000000
164,0.555543,0.043401,10.296088,1.448283,0.000000
165,0.505066,0.010818,8.995176,1.422224,0.000000
166,0.527450,-0.002667,10.942530,1.411625,0.000000
167,0.609935,0.009044,11.739779,1.414817,0.000000
168,0.541058,0.046666,9.036954,1.395236,-0.000000
169,0.520316,0.007545,6.330208,1.367827,0.000000
170,0.542293,0.004003,7.691410,1.354266,0.000000
171,0.527868,0.011330,5.541195,1.362029,0.000000
172,0.548332,0.020419,5.218002,1.360062,-0.000000
173,0.593980,0.015361,7.597276,1.346492,-0.000000
174,0.552400,0.003587,3.197069,1.337401,-0.000000
175,0.579546,0.011559,3.393903,1.331765,0.000000
176,0.500258,-0.003251,2.170683,1.325795,0.000000
177,0.580156,0.021951,2.603067,1.320223,0.000000
178,0.560096,0.056867,3.429243,1.318298,-0.000000
179,0.565049,0.196915,1.467975,1.312935,-0.000000
180,0.611695,0.015414,2.018581,1.301184,-0.000000
181,0.627578,0.033572,10.483260,1.293382,0.000000
182,0.660510,0.007654,4.029957,1.290078,0.000000
183,0.549102,0.165391,1.348916,1.283019,-0.000000
184,0.632186,-0.002233,10.441364,1.280809,0.000000
185,0.541995,-0.006071,3.183264,1.289670,0.000000
186,0.646057,0.007088,17.751164,1.297807,0.000000
187,0.614038,0.007530,3.758632,1.288254,0.000000
188,0.654775,0.004049,1.809389,1.273326,0.000000
189,0.622905,0.000232,2.107288,1.253455,0.000000
190,0.667908,0.015723,1.858780,1.235147,0.000000
191,0.641067,-0.005588,4.499689,1.222322,0.000000
192,0.681950,0.006846,5.603512,1.198935,-0.000000
193,0.620722,0.007288,1.184003,1.185089,0.000000
194,0.694177,0.025970,9.782583,1.178351,-0.000000
195,0.704980,0.048642,4.647353,1.166771,-0.000000
196,0.692179,0.005890,2.322803,1.161843,-0.000000
197,0.651085,0.007942,2.102065,1.163041,-0.000000
198,0.690170,0.007812,5.336392,1.154219,0.000000
199,0.681882,0.003252,4.513118,1.150546,-0.000000
200,0.685429,0.010149,2.544388,1.155212,0.000000
201,0.684148,0.003595,17.339675,1.152152,0.000000
202,0.641767,-0.000242,1.137292,1.157980,0.000000
203,0.700240,0.005017,8.544700,1.162943,-0.000000
204,0.680922,0.013577,3.077135,1.150543,0.000000
205,0.735773,-0.001284,16.393296,1.146690,-0.000000
206,0.720289,0.014133,15.002175,1.169760,0.000000
207,0.748522,0.006249,24.380397,1.172156,0.000000
208,0.692371,-0.002120,3.235584,1.172140,0.000000
209,0.642056,0.005820,0.377850,1.148780,-0.000000
210,0.762950,0.017025,16.191807,1.130885,-0.000000
211,0.679558,0.065176,3.855715,1.126198,-0.000000
212,0.747249,-0.003533,19.112105,1.117707,0.000000
213,0.710822,-0.000892,3.378405,1.129029,-0.000000
214,0.701444,0.027641,6.142518,1.127486,0.000000
215,0.744606,-0.001610,18.231133,1.139552,-0.000000
216,0.724828,0.013079,6.700832,1.144163,0.000000
217,0.735885,0.025382,10.122661,1.139435,-0.000000
218,0.735334,-0.002610,9.273086,1.147941,-0.000000
219,0.725869,0.009261,8.917066,1.149637,-0.000000
220,0.633256,9.880596,3.322721,1.149689,0.000000
221,0.718817,-0.003383,14.804805,1.147968,0.000000
222,0.738244,-0.001777,8.040065,1.156504,0.000000
223,0.759486,-0.004599,17.249179,1.181697,0.000000
224,0.732828,0.003374,13.200364,1.206299,-0.000000
225,0.725563,0.003025,18.260582,1.225491,-0.000000
226,0.741542,0.045001,19.176244,1.240256,-0.000000
227,0.748053,0.012505,16.881165,1.247067,-0.000000
228,0.726779,0.010167,9.413577,1.234574,0.000000
229,0.755563,0.002053,37.975830,1.242608,-0.000000
230,0.755023,0.001786,15.907356,1.246276,-0.000000
231,0.748763,0.017286,19.633803,1.244337,0.000000
232,0.768423,0.015086,18.527213,1.245546,0.000000
233,0.767905,-0.000107,20.961738,1.243498,0.000000
234,0.768651,0.020006,15.846132,1.262376,0.000000
235,0.782263,0.006189,19.646939,1.273736,-0.000000
236,0.785769,0.026352,35.598098,1.282972,-0.000000
237,0.761872,0.009450,19.446716,1.301209,-0.000000
238,0.773815,0.006317,19.184700,1.307266,-0.000000
239,0.786731,0.000184,23.208497,1.315734,0.000000
240,0.796264,-0.002608,21.722472,1.336437,-0.000000
241,0.784047,0.004666,28.480746,1.348118,0.000000
242,0.778636,0.003152,11.142913,1.349448,0.000000
243,0.763075,0.008905,44.334275,1.360499,-0.000000
244,0.773023,0.011815,37.420476,1.373150,0.000000
245,0.786962,0.026583,26.040477,1.373581,-0.000000
246,0.790748,0.002023,22.442455,1.373864,0.000000
247,0.791830,0.022310,32.468132,1.375301,-0.000000
248,0.757166,0.002616,39.912132,1.393506,0.000000
249,0.703401,0.007719,35.971768,1.426516,0.000000
250,0.760451,0.009774,25.319572,1.436123,0.000000
251,0.788732,0.016594,32.070920,1.424406,-0.000000
252,0.780649,0.006614,17.549637,1.402753,0.000000
253,0.790513,0.006106,28.893818,1.397205,-0.000000
254,0.795005,0.006208,33.692505,1.398107,0.000000
255,0.788672,0.005491,38.667031,1.396823,0.000000
256,0.792393,0.006075,40.083324,1.406980,0.000000
257,0.768749,0.045622,38.981158,1.429885,-0.000000
258,0.710855,0.030528,46.182343,1.446235,-0.000000
259,0.745244,0.006676,28.404594,1.459430,0.000000
260,0.714006,0.067254,34.175071,1.470292,0.000000
261,0.684469,0.035512,32.449753,1.464415,0.000000
262,0.590620,0.039688,22.335228,1.455963,0.000000
263,0.617503,0.040073,21.142634,1.462721,0.000000
264,0.601735,0.059234,12.640110,1.469970,0.000000
265,0.626035,0.028941,8.232951,1.454271,0.000000
266,0.658503,0.014237,3.532147,1.432364,-0.000000
267,0.683683,0.000770,6.960285,1.435172,0.000000
268,0.673468,0.011269,14.728528,1.442230,-0.000000
269,0.714962,0.013971,11.658005,1.438083,0.000000
270,0.610796,0.096610,5.286333,1.435674,-0.000000
271,0.628730,0.073099,6.384997,1.432900,-0.000000
272,0.648905,0.103369,6.607244,1.430154,0.000000
273,0.604713,0.071192,1.491627,1.415685,0.000000
274,0.616739,0.038676,6.491822,1.396920,0.000000
275,0.601377,0.048991,5.058264,1.386816,-0.000000
276,0.626177,0.029470,2.433813,1.379486,0.000000
