batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.563661,1.409448,24.556312,4.300658,-0.000000
2,0.457266,0.591268,12.287304,4.203531,-0.000000
3,0.550713,0.207336,19.546788,4.130310,0.000000
4,0.591376,0.252813,20.212611,4.054279,-0.000000
5,0.619348,0.113923,20.444676,3.979763,-0.000000
6,0.628649,0.371589,20.277931,3.909886,0.000000
7,0.649997,3.776495,20.283387,3.824136,0.000000
8,0.617329,0.469974,21.031892,3.736837,-0.000000
9,0.632341,0.055784,17.449577,3.668334,0.000000
10,0.668991,0.129993,20.545415,3.608068,0.000000
11,0.681624,0.084853,20.412948,3.543246,-0.000000
12,0.671635,0.129822,21.329790,3.468879,-0.000000
13,0.678088,0.172760,22.447424,3.408293,-0.000000
14,0.701641,0.047137,25.235873,3.370767,0.000000
15,0.715035,0.138932,25.254753,3.325637,-0.000000
16,0.710596,0.040004,27.747165,3.275483,0.000000
17,0.722319,0.015547,27.943315,3.245631,0.000000
18,0.735836,0.138905,32.427202,3.225944,-0.000000
19,0.738807,0.727382,31.902579,3.209044,0.000000
20,0.735916,0.140126,32.340245,3.181652,0.000000
21,0.702751,0.061243,29.591733,3.145032,-0.000000
22,0.688858,0.061002,28.262837,3.127601,0.000000
23,0.702562,0.067318,18.284733,3.112200,-0.000000
24,0.712971,0.068817,25.972105,3.103262,0.000000
25,0.669249,0.460656,47.574377,3.078701,-0.000000
26,0.654306,0.184297,50.847961,3.038872,0.000000
27,0.709624,0.021780,39.164169,3.038516,0.000000
28,0.722611,0.059469,39.790273,3.048359,-0.000000
29,0.776148,0.055674,29.824061,3.039771,0.000000
30,0.760655,0.255854,14.823306,3.009255,0.000000
31,0.788703,0.027500,26.979861,2.965778,0.000000
32,0.797674,0.254998,29.710613,2.940452,0.000000
33,0.805764,0.003557,33.572250,2.924114,0.000000
34,0.790440,0.025767,19.882965,2.898043,0.000000
35,0.792865,0.388523,20.205505,2.872304,0.000000
36,0.798654,0.033031,19.874550,2.857997,0.000000
37,0.797939,0.035580,15.047201,2.841137,-0.000000
38,0.811079,0.038228,26.524854,2.817323,-0.000000
39,0.819162,0.022032,39.691267,2.794162,-0.000000
40,0.811943,0.006576,44.444855,2.786263,0.000000
41,0.796178,0.043833,44.295176,2.774952,-0.000000
42,0.811570,0.268330,39.277768,2.771293,-0.000000
43,0.768330,0.015240,54.912527,2.779053,0.000000
44,0.815880,0.010900,28.918257,2.776834,-0.000000
45,0.818486,0.019853,28.024762,2.770379,-0.000000
46,0.823386,0.022831,25.323435,2.760440,-0.000000
47,0.821169,0.060486,22.465932,2.743210,-0.000000
48,0.817609,0.029508,29.392186,2.729109,0.000000
49,0.770140,0.029053,72.006220,2.747882,-0.000000
50,0.816753,0.029271,23.085613,2.772274,0.000000
51,0.821480,0.082082,38.049008,2.775924,0.000000
52,0.823522,-0.000775,44.938219,2.780480,0.000000
53,0.806545,0.123907,41.187617,2.784152,0.000000
54,0.824517,-0.003609,42.328929,2.779674,-0.000000
55,0.748980,0.066123,85.476758,2.777303,0.000000
56,0.775898,0.023706,48.998937,2.767423,-0.000000
57,0.627311,0.013756,97.120340,2.761201,-0.000000
58,0.643490,0.104228,53.975320,2.740384,-0.000000
59,0.581848,0.181615,40.770215,2.712321,0.000000
60,0.561660,0.118579,35.439209,2.702825,0.000000
61,0.533794,0.080565,28.027975,2.686052,-0.000000
62,0.520685,0.219780,20.603637,2.661040,0.000000
63,0.545409,0.079589,16.464671,2.654262,0.000000
64,0.542018,0.039026,13.578496,2.628083,0.000000
65,0.540978,0.032089,11.366387,2.601660,0.000000
66,0.527776,0.037218,8.021051,2.582619,-0.000000
67,0.518133,0.013258,6.064392,2.564439,-0.000000
68,0.507220,0.030911,5.753271,2.554019,-0.000000
69,0.530730,0.083744,4.089964,2.524137,-0.000000
70,0.526549,0.117039,3.716195,2.468960,0.000000
71,0.519571,0.037786,2.972622,2.427082,0.000000
72,0.506110,0.092341,4.545112,2.400972,0.000000
73,0.515257,0.030899,2.877867,2.396295,0.000000
74,0.512283,0.026496,2.516664,2.386359,0.000000
75,0.514246,0.022246,2.188970,2.370152,-0.000000
76,0.526981,0.023445,2.705772,2.337098,0.000000
77,0.539569,0.039893,1.424637,2.292741,0.000000
78,0.575136,0.015372,3.778178,2.269665,0.000000
79,0.631387,0.023130,9.500116,2.237359,0.000000
80,0.651915,0.022092,8.998788,2.213500,-0.000000
81,0.766850,0.041349,11.228786,2.192737,-0.000000
82,0.728939,0.123356,13.103059,2.160330,0.000000
83,0.811186,0.008907,15.922295,2.148702,0.000000
84,0.764272,0.012719,22.196625,2.150389,0.000000
85,0.753452,0.003393,24.529686,2.143188,-0.000000
86,0.703021,0.002225,25.291710,2.133247,-0.000000
87,0.743043,0.001493,24.219095,2.132563,0.000000
88,0.777930,0.060949,24.899103,2.157307,0.000000
89,0.800720,0.007214,26.478443,2.168617,0.000000
90,0.771151,0.001798,28.991061,2.165987,0.000000
91,0.768081,-0.000843,29.320662,2.193505,-0.000000
92,0.776132,0.011036,28.518269,2.208384,-0.000000
93,0.771732,0.002836,27.790110,2.222689,0.000000
94,0.769356,0.011339,27.967630,2.257208,-0.000000
95,0.774686,0.008031,27.497027,2.254502,0.000000
96,0.790383,0.013162,29.019501,2.251900,-0.000000
97,0.802097,0.013647,29.869219,2.259304,0.000000
98,0.803564,0.005698,28.449697,2.252377,0.000000
99,0.781734,0.018351,26.502316,2.261001,0.000000
100,0.800687,0.023198,27.967929,2.290887,-0.000000
101,0.805866,0.046558,29.577244,2.297841,-0.000000
102,0.789197,0.079569,23.568112,2.279454,0.000000
103,0.779726,0.059470,25.124932,2.264197,-0.000000
104,0.771690,0.005125,21.501220,2.250040,0.000000
105,0.772982,-0.000176,18.421231,2.249915,-0.000000
106,0.802433,0.187878,19.787063,2.261875,-0.000000
107,0.776117,0.013416,22.262104,2.263672,0.000000
108,0.779004,0.004206,18.305456,2.252344,0.000000
109,0.794049,0.040732,18.181231,2.233502,0.000000
110,0.778159,0.004664,15.430010,2.211345,0.000000
111,0.773744,0.001050,13.278665,2.224470,0.000000
112,0.775290,-0.002275,13.396805,2.253782,-0.000000
113,0.794043,0.006228,14.466679,2.262095,-0.000000
114,0.795071,0.273974,22.000840,2.267766,0.000000
115,0.792772,1.117041,33.737035,2.276878,-0.000000
116,0.784774,0.044278,35.023085,2.289959,-0.000000
117,0.788292,0.030944,28.031117,2.311910,0.000000
118,0.787413,0.005031,23.578718,2.320334,-0.000000
119,0.781971,0.014359,23.086357,2.319785,-0.000000
120,0.771699,0.010935,31.315547,2.322666,0.000000
121,0.770248,0.025996,24.673320,2.347403,0.000000
122,0.770939,0.026884,19.626567,2.346894,0.000000
123,0.770775,0.002216,20.801136,2.332846,0.000000
124,0.771253,0.001408,18.966008,2.334996,-0.000000
125,0.750158,-0.006647,12.171216,2.337310,0.000000
126,0.757408,0.006349,12.781958,2.332218,0.000000
127,0.762989,0.009863,10.558787,2.318041,0.000000
128,0.762107,0.098716,10.478221,2.300436,0.000000
129,0.771257,0.102832,13.740429,2.295881,0.000000
130,0.768585,-0.008496,8.977757,2.323231,-0.000000
131,0.759536,0.009769,5.458360,2.355491,0.000000
132,0.770632,0.012141,7.397874,2.363390,-0.000000
133,0.755742,0.015234,2.168159,2.374500,0.000000
134,0.761474,0.004030,3.116034,2.366217,-0.000000
135,0.765867,0.690604,2.735458,2.350393,0.000000
136,0.766763,0.002871,3.439072,2.337978,-0.000000
137,0.762687,0.172857,3.137068,2.316307,-0.000000
138,0.771960,0.006854,3.344117,2.316016,0.000000
139,0.775457,0.001856,5.221516,2.332817,0.000000
140,0.771878,7.507212,2.605379,2.358747,-0.000000
141,0.777639,0.009097,4.878841,2.363324,0.000000
142,0.766477,0.009495,2.681044,2.351776,0.000000
143,0.776555,0.011837,3.027547,2.331140,0.000000
144,0.792633,0.021020,8.497474,2.317447,0.000000
145,0.789235,0.005064,5.731176,2.329884,-0.000000
146,0.797547,0.012939,6.756523,2.332033,0.000000
147,0.800507,0.006850,3.699090,2.317210,0.000000
148,0.798751,0.000391,4.445156,2.312317,-0.000000
149,0.779308,0.017517,1.914832,2.299036,-0.000000
150,0.812397,0.022392,27.758541,2.305222,-0.000000
151,0.809188,0.839420,14.511781,2.332426,-0.000000
152,0.810174,0.479557,9.097774,2.342882,0.000000
153,0.807992,0.039560,3.894569,2.321277,-0.000000
154,0.814670,0.021542,9.979632,2.305557,-0.000000
155,0.822935,0.013266,20.382298,2.320628,0.000000
156,0.825974,0.000752,14.788317,2.326604,-0.000000
157,0.823556,-0.003502,40.285165,2.338276,0.000000
158,0.773614,0.013414,50.031795,2.334057,0.000000
159,0.682872,0.092903,79.161667,2.323696,0.000000
160,0.733611,0.833222,46.266143,2.324979,0.000000
161,0.775016,0.005577,25.913190,2.307281,0.000000
162,0.757403,0.008822,29.339008,2.292238,0.000000
163,0.805071,0.085598,10.022355,2.259628,-0.000000
164,0.795825,0.050394,14.373394,2.221623,-0.000000
165,0.799572,0.044577,5.411124,2.179284,0.000000
166,0.783700,0.695233,2.354496,2.138448,-0.000000
167,0.785744,0.050005,4.943311,2.133181,0.000000
168,0.798930,0.001628,7.737262,2.150328,-0.000000
169,0.758473,0.001720,24.968243,2.162361,0.000000
170,0.795558,0.015730,4.748176,2.131364,0.000000
171,0.787968,0.010597,5.642718,2.096691,0.000000
172,0.788536,0.025760,41.134300,2.087838,0.000000
173,0.827903,0.031206,15.111371,2.092333,-0.000000
174,0.824350,0.003020,20.204826,2.116347,0.000000
175,0.836702,0.034410,19.942284,2.139335,-0.000000
176,0.835264,0.119597,7.827055,2.147235,0.000000
177,0.837836,-0.000472,10.919601,2.141699,0.000000
178,0.840952,0.002954,39.321912,2.149675,0.000000
179,0.842052,0.031108,50.382556,2.182201,-0.000000
180,0.838459,0.046593,6.938359,2.188082,0.000000
181,0.845329,-0.002804,59.551918,2.171706,-0.000000
182,0.801286,0.078590,66.496358,2.176694,-0.000000
183,0.838907,0.044833,62.297001,2.196234,-0.000000
184,0.844682,0.003915,44.254658,2.199148,-0.000000
185,0.810234,0.035246,65.138085,2.183177,0.000000
186,0.837301,0.004177,46.926291,2.185036,-0.000000
187,0.845563,0.007486,48.566260,2.208637,-0.000000
188,0.835296,0.034976,51.303102,2.232107,-0.000000
189,0.845151,0.008740,53.624998,2.262332,0.000000
190,0.841964,0.014801,47.651807,2.286717,-0.000000
191,0.812753,0.045349,57.825983,2.291574,-0.000000
192,0.833235,0.059526,43.665576,2.288560,-0.000000
193,0.841458,0.007600,46.793431,2.287134,0.000000
194,0.834138,0.017290,41.047634,2.291350,0.000000
195,0.837965,0.008700,35.298846,2.308749,0.000000
196,0.842947,0.015224,34.481926,2.321132,0.000000
197,0.727426,0.208426,79.459836,2.326811,-0.000000
198,0.804135,-0.001496,47.731408,2.350695,-0.000000
199,0.839003,0.052475,49.071756,2.380727,0.000000
200,0.827610,0.018241,25.570073,2.389728,0.000000
201,0.838814,0.013751,41.732141,2.395513,0.000000
202,0.843029,0.274436,43.233195,2.407365,0.000000
203,0.802716,0.006611,58.477486,2.417722,-0.000000
204,0.844175,0.009085,48.701791,2.434108,-0.000000
205,0.828925,0.013984,41.661725,2.464960,-0.000000
206,0.844276,-0.001097,46.763546,2.494509,-0.000000
207,0.804010,0.028289,61.371249,2.513940,-0.000000
208,0.804806,0.027171,58.059826,2.498830,0.000000
209,0.844077,-0.001147,42.522578,2.461792,0.000000
210,0.840322,0.011248,40.944993,2.462214,0.000000
211,0.735694,0.075633,65.621412,2.457895,-0.000000
212,0.734042,0.028306,55.952642,2.442093,-0.000000
213,0.784767,0.008994,45.933247,2.442895,-0.000000
214,0.841200,0.105832,34.675730,2.446350,-0.000000
215,0.839105,0.104258,18.530007,2.424435,0.000000
216,0.825104,0.167837,36.151941,2.397684,0.000000
217,0.751652,0.227313,39.794464,2.408367,0.000000
218,0.793444,0.027791,45.215291,2.404174,0.000000
219,0.796221,0.035219,43.216311,2.378521,0.000000
220,0.843253,0.002442,41.208195,2.376092,-0.000000
221,0.839212,0.018145,18.833410,2.385826,-0.000000
222,0.837740,0.117126,36.787781,2.375167,-0.000000
223,0.804705,0.035538,42.409317,2.363684,0.000000
224,0.838196,0.068921,52.233749,2.352598,-0.000000
225,0.838536,0.000434,49.654586,2.335991,0.000000
226,0.840727,0.022007,47.756693,2.334125,0.000000
227,0.841851,0.213969,44.569377,2.326845,-0.000000
228,0.786740,0.018439,63.759147,2.311569,-0.000000
229,0.787112,0.010351,54.605423,2.306972,0.000000
230,0.820042,0.012939,25.358481,2.309922,0.000000
231,0.802162,0.092638,40.905498,2.297770,0.000000
232,0.841776,0.007027,37.417452,2.281139,0.000000
233,0.845998,0.024104,49.815150,2.284389,-0.000000
234,0.845912,0.007997,44.842044,2.308351,0.000000
235,0.844033,0.026396,51.915736,2.319327,0.000000
236,0.753179,0.219055,72.984792,2.316806,-0.000000
237,0.840425,0.020878,46.461417,2.341654,-0.000000
238,0.836862,0.009972,40.133280,2.376590,0.000000
239,0.823711,0.053578,37.001910,2.412855,0.000000
240,0.684457,0.034936,54.958369,2.414729,0.000000
241,0.745376,0.087317,31.270737,2.399417,-0.000000
242,0.837289,0.029769,27.515717,2.418224,0.000000
243,0.796685,0.016879,32.426906,2.441414,0.000000
244,0.822196,0.063372,37.295004,2.453966,0.000000
245,0.833732,0.029123,24.607805,2.460998,-0.000000
246,0.794517,0.038405,33.658301,2.455397,0.000000
247,0.818098,0.014968,34.460539,2.433063,0.000000
248,0.839121,0.021251,29.368906,2.401247,0.000000
249,0.819718,0.057114,41.171516,2.374692,-0.000000
250,0.839999,0.119758,45.416192,2.377322,0.000000
251,0.841287,0.012670,40.631161,2.391273,0.000000
252,0.840855,0.036825,36.678691,2.399890,0.000000
253,0.834149,0.001442,28.362869,2.417998,-0.000000
254,0.832629,0.163258,29.695922,2.436954,-0.000000
255,0.839500,-0.002418,40.086332,2.452427,-0.000000
256,0.843403,0.000448,39.792514,2.468975,-0.000000
257,0.841364,0.007411,42.677101,2.488489,0.000000
258,0.838562,0.075558,53.119377,2.485163,0.000000
259,0.822294,0.005871,40.265783,2.485034,0.000000
260,0.828623,0.044089,43.051452,2.482824,0.000000
261,0.778536,0.012718,56.809852,2.481284,-0.000000
262,0.840115,0.105770,41.892105,2.503763,-0.000000
263,0.840379,0.007567,52.490109,2.513819,0.000000
264,0.843071,0.025849,49.956910,2.508645,0.000000
265,0.804380,0.024552,56.787178,2.522037,0.000000
266,0.840817,0.002734,52.845335,2.545890,0.000000
267,0.805770,0.008224,52.907432,2.564812,0.000000
268,0.840113,0.015706,43.683102,2.580606,0.000000
269,0.841556,0.110413,45.364039,2.594072,0.000000
270,0.832145,0.006625,45.231435,2.594506,0.000000
271,0.839906,0.045005,51.575388,2.599156,0.000000
272,0.807290,0.003142,53.680907,2.603943,0.000000
273,0.828906,0.395822,44.684729,2.587892,0.000000
274,0.842752,0.025128,47.417704,2.573695,-0.000000
275,0.840707,0.009539,43.217647,2.605639,0.000000
276,0.840515,0.072286,41.173678,2.625662,0.000000
277,0.802873,0.018770,48.373862,2.619631,0.000000
278,0.803771,0.043887,49.459935,2.615003,0.000000
279,0.781418,0.239711,54.286722,2.593742,0.000000
280,0.780385,0.139320,56.063869,2.572467,0.000000
281,0.788929,0.047760,54.216202,2.565543,0.000000
282,0.843139,0.114475,45.598045,2.552218,-0.000000
283,0.807394,0.008677,55.444254,2.533441,-0.000000
284,0.781720,0.069468,48.676183,2.516230,-0.000000
285,0.788372,0.013534,49.076245,2.523075,0.000000
286,0.841359,0.028236,40.037674,2.537009,0.000000
287,0.838280,0.020821,45.614800,2.550774,-0.000000
288,0.825613,0.021480,37.819860,2.555068,0.000000
289,0.725412,0.008987,44.592109,2.550868,-0.000000
290,0.770937,0.000441,41.644076,2.548633,0.000000
291,0.837752,0.043990,36.970410,2.546242,-0.000000
292,0.837620,0.047551,41.893608,2.539746,0.000000
293,0.750568,0.074155,50.601264,2.527392,-0.000000
294,0.824599,0.028816,39.081716,2.513647,0.000000
295,0.838291,0.038486,39.640236,2.501959,0.000000
296,0.823702,0.010815,39.740150,2.519650,-0.000000
297,0.835748,0.013152,40.285988,2.533619,0.000000
298,0.843441,0.045854,37.624173,2.523740,0.000000
299,0.836776,0.025426,40.535908,2.529610,-0.000000
300,0.793669,0.016004,43.532467,2.555200,-0.000000
301,0.794155,0.016059,48.960962,2.558084,0.000000
302,0.778312,0.059877,38.309377,2.558363,-0.000000
303,0.739652,0.030687,38.496318,2.555474,0.000000
304,0.837692,0.004960,42.708317,2.564485,0.000000
305,0.832140,0.047321,39.252319,2.574115,-0.000000
306,0.820685,0.032713,38.280204,2.566821,-0.000000
307,0.823426,0.074305,39.659982,2.558880,-0.000000
308,0.835600,0.015992,39.311820,2.579107,-0.000000
309,0.833321,0.117770,38.679998,2.605993,0.000000
310,0.794793,0.005393,47.850907,2.600160,0.000000
311,0.819669,0.031086,34.986117,2.593172,0.000000
312,0.821252,0.008137,38.945954,2.575606,0.000000
313,0.797665,0.020965,46.213042,2.565822,-0.000000
314,0.840296,0.025088,40.847652,2.576421,-0.000000
315,0.804367,0.011671,48.085545,2.596422,-0.000000
316,0.839073,0.008438,39.126410,2.611313,-0.000000
317,0.836473,0.017620,39.753170,2.627707,-0.000000
318,0.835421,0.019179,41.316485,2.650504,0.000000
319,0.718115,0.185253,53.248394,2.644424,-0.000000
320,0.766423,0.058295,34.183420,2.627883,0.000000
321,0.779192,0.227606,50.268987,2.617622,0.000000
322,0.837239,0.158472,39.978376,2.621670,-0.000000
323,0.834709,0.039513,39.632033,2.637324,0.000000
324,0.822738,0.010608,39.173985,2.651718,0.000000
325,0.837795,0.002906,41.147266,2.656104,0.000000
