batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.509407,0.297337,17.902585,4.304780,0.000000
2,0.553903,0.306239,21.633633,4.206754,-0.000000
3,0.570999,0.230320,19.259046,4.125284,-0.000000
4,0.614171,0.443433,21.679243,4.051016,0.000000
5,0.584094,0.693339,19.142497,3.970787,0.000000
6,0.565844,0.082257,19.401990,3.906346,-0.000000
7,0.670114,0.122638,23.383046,3.861338,-0.000000
8,0.625470,0.243191,19.173191,3.793862,-0.000000
9,0.609285,1.783521,19.368094,3.726878,0.000000
10,0.645715,0.193578,19.697868,3.684231,0.000000
11,0.621730,0.211980,18.787287,3.642222,-0.000000
12,0.582847,0.071611,18.334620,3.605045,0.000000
13,0.607916,0.447136,19.552880,3.580329,0.000000
14,0.683876,0.116712,22.777158,3.522251,-0.000000
15,0.668241,0.083200,22.841224,3.456669,-0.000000
16,0.724257,0.041395,27.674355,3.416515,0.000000
17,0.762275,0.111358,29.312009,3.380728,-0.000000
18,0.706407,0.112921,29.754475,3.338193,0.000000
19,0.710947,0.066675,27.500162,3.318211,-0.000000
20,0.765598,0.091127,30.538045,3.298028,0.000000
21,0.743081,0.108345,30.439076,3.259584,0.000000
22,0.748085,0.040929,30.173182,3.245878,0.000000
23,0.766368,0.056020,31.570541,3.242282,0.000000
24,0.775060,0.023147,34.978218,3.228976,-0.000000
25,0.788804,0.049437,35.795591,3.215470,-0.000000
26,0.788443,0.026013,34.360157,3.206059,0.000000
27,0.777095,0.050359,37.989053,3.220910,-0.000000
28,0.751185,0.039062,38.234624,3.229401,0.000000
29,0.754058,0.067941,39.756360,3.203192,-0.000000
30,0.711908,0.036965,44.990539,3.181296,0.000000
31,0.729728,0.020693,47.447824,3.169425,-0.000000
32,0.688698,0.227341,48.515245,3.153595,0.000000
33,0.731060,0.104438,44.075681,3.136103,-0.000000
34,0.700363,0.076988,39.857681,3.111802,0.000000
35,0.664572,0.039646,47.910917,3.101779,-0.000000
36,0.732890,0.102514,37.899886,3.094738,-0.000000
37,0.736631,0.031767,40.915931,3.092286,-0.000000
38,0.703070,0.055512,47.967430,3.087520,-0.000000
39,0.760801,0.004617,32.273452,3.077976,0.000000
40,0.764137,0.053283,32.706617,3.053998,-0.000000
41,0.759828,0.143074,34.899564,3.036186,0.000000
42,0.754481,0.194407,31.158316,3.018968,0.000000
43,0.768936,0.359938,31.089913,3.018344,0.000000
44,0.745881,0.154455,40.333128,2.995873,-0.000000
45,0.791548,0.035028,32.332332,2.945675,-0.000000
46,0.797182,0.008904,33.136948,2.939696,-0.000000
47,0.755805,0.301174,44.419851,2.937388,-0.000000
48,0.743559,0.007540,38.797806,2.923269,0.000000
