batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.402674,0.598179,7.269476,4.312477,0.000000
2,0.424261,0.416495,6.214090,4.232110,0.000000
3,0.440848,0.697073,8.812419,4.169035,0.000000
4,0.417607,0.203772,5.392848,4.121734,-0.000000
5,0.425524,0.642218,6.078830,4.060721,0.000000
6,0.444463,0.263211,7.340488,3.997591,-0.000000
7,0.409395,0.427340,5.322785,3.928731,0.000000
8,0.390965,1.682120,6.302012,3.853729,0.000000
9,0.397516,0.256970,3.741731,3.774463,-0.000000
10,0.435946,0.161091,3.505472,3.703519,0.000000
11,0.465831,0.186224,3.737035,3.649153,-0.000000
12,0.468290,0.241016,8.095151,3.577965,0.000000
13,0.492213,0.084037,5.219639,3.496559,0.000000
14,0.468825,0.215357,6.577589,3.432608,0.000000
15,0.441307,0.048033,10.786948,3.381027,-0.000000
16,0.460998,0.048238,5.943658,3.337479,-0.000000
17,0.481028,0.089622,14.867805,3.288026,0.000000
18,0.467249,0.080845,6.788435,3.255522,-0.000000
19,0.483287,0.611278,2.985777,3.218909,-0.000000
20,0.497240,0.367490,4.634214,3.174850,-0.000000
21,0.544460,0.201604,2.642094,3.116147,0.000000
22,0.518195,0.149859,3.660768,3.035796,0.000000
23,0.495268,0.367220,12.201064,2.971194,-0.000000
24,0.546279,0.039500,3.672898,2.926112,0.000000
25,0.522709,0.054517,2.563432,2.890252,-0.000000
26,0.526804,0.170077,1.829284,2.866203,0.000000
27,0.545867,0.021341,11.843734,2.845528,-0.000000
28,0.550505,0.009401,9.314722,2.831898,-0.000000
29,0.552403,0.017098,5.047119,2.798127,0.000000
30,0.557300,1.481672,0.750433,2.752000,0.000000
31,0.559703,0.010636,4.185293,2.729150,0.000000
32,0.547846,0.075259,1.088364,2.693787,-0.000000
33,0.560119,0.035130,5.272443,2.650728,0.000000
34,0.574839,0.034893,1.521410,2.631970,0.000000
35,0.565553,0.093197,1.475452,2.608533,0.000000
36,0.560660,0.030877,8.282796,2.614091,0.000000
37,0.557770,0.020797,8.326111,2.632977,-0.000000
38,0.502395,0.084168,16.601684,2.631744,-0.000000
39,0.559071,0.021946,4.988457,2.613673,0.000000
40,0.560078,0.023445,7.178413,2.602479,0.000000
41,0.568954,0.607777,7.008857,2.578776,-0.000000
42,0.553022,0.009627,12.489726,2.565852,0.000000
43,0.545015,0.028713,9.843775,2.559482,-0.000000
44,0.581363,0.039838,1.419499,2.530079,-0.000000
45,0.583795,0.048915,1.265552,2.484694,0.000000
46,0.567022,0.002299,3.143682,2.441012,-0.000000
47,0.560250,0.227136,0.784875,2.408503,0.000000
48,0.585993,0.014314,1.473413,2.407363,0.000000
49,0.582924,0.022528,1.978081,2.411814,0.000000
50,0.593899,0.018037,5.867520,2.416547,0.000000
51,0.608367,0.028744,6.775642,2.405091,0.000000
52,0.599828,0.060449,15.894651,2.385518,0.000000
53,0.576624,0.018112,20.223595,2.388607,0.000000
54,0.576526,0.079499,20.908598,2.403148,-0.000000
55,0.546766,0.014109,14.806857,2.409288,-0.000000
56,0.574277,0.050632,10.484136,2.415178,-0.000000
57,0.535216,0.010281,12.710545,2.403087,0.000000
58,0.576334,0.054913,8.036871,2.408625,-0.000000
59,0.543048,0.027607,10.873311,2.425257,0.000000
60,0.609001,0.057483,6.396299,2.419081,0.000000
61,0.570598,0.220636,9.764777,2.390027,-0.000000
62,0.585273,0.077946,4.346211,2.372145,0.000000
63,0.548122,0.004158,17.510867,2.358519,-0.000000
64,0.587741,0.023268,6.705774,2.358666,0.000000
65,0.614505,0.030092,6.595735,2.352898,-0.000000
