batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.434796,0.328102,9.295183,4.318364,-0.000000
2,0.415947,0.204950,7.150925,4.250803,-0.000000
3,0.418577,0.266082,6.903230,4.158374,-0.000000
4,0.411938,0.492814,7.251486,4.045993,-0.000000
5,0.452646,1.422475,9.251382,3.939954,-0.000000
6,0.391926,0.250348,6.973859,3.843720,0.000000
7,0.451892,0.174967,10.801154,3.785872,0.000000
8,0.436575,0.080513,12.776686,3.740128,0.000000
9,0.411432,0.212543,15.899367,3.704275,-0.000000
10,0.396449,0.264514,19.897977,3.652581,-0.000000
11,0.390368,0.177132,16.521813,3.611481,-0.000000
12,0.409539,0.111014,12.054486,3.589417,-0.000000
13,0.390819,0.386219,14.725449,3.543168,0.000000
14,0.402675,0.054634,12.402535,3.500280,-0.000000
15,0.410247,0.071836,11.040136,3.472574,-0.000000
16,0.408438,0.107933,13.087924,3.432773,0.000000
17,0.377895,1.301957,16.567966,3.376845,0.000000
18,0.387456,0.080362,10.801990,3.328129,-0.000000
19,0.384469,0.282346,11.229462,3.279903,-0.000000
20,0.385861,0.081665,9.674319,3.240385,0.000000
21,0.412168,0.059139,9.570012,3.201384,0.000000
22,0.392290,0.112143,9.532390,3.147703,0.000000
23,0.399840,0.149823,9.203495,3.094230,0.000000
24,0.387902,0.083151,10.617566,3.045508,-0.000000
25,0.384332,0.146959,7.856736,3.007367,-0.000000
26,0.376454,0.079352,7.522728,2.969483,0.000000
27,0.378933,0.179040,7.287939,2.931183,0.000000
28,0.399960,0.203037,8.278820,2.892576,0.000000
29,0.375385,0.079102,6.530656,2.854326,0.000000
30,0.398199,0.042525,6.443370,2.835786,0.000000
31,0.428198,0.057358,6.741085,2.821907,0.000000
32,0.391353,0.004210,6.820839,2.787332,-0.000000
33,0.409051,0.706994,8.406651,2.752869,-0.000000
34,0.409229,0.039742,8.044969,2.718963,0.000000
35,0.373715,0.005565,6.249977,2.682578,-0.000000
36,0.366437,0.007302,6.491853,2.650614,0.000000
37,0.382734,0.027232,6.562441,2.626434,-0.000000
38,0.377801,0.064616,5.497491,2.606465,0.000000
39,0.386125,0.008249,4.225006,2.601120,0.000000
40,0.419870,0.090695,5.594738,2.583156,-0.000000
41,0.387208,0.066909,6.622357,2.544279,-0.000000
42,0.393515,0.021243,4.129518,2.531839,0.000000
43,0.390226,0.039162,5.061456,2.535234,-0.000000
44,0.417903,0.022444,4.733700,2.514038,-0.000000
45,0.428783,0.047540,4.653395,2.487383,0.000000
46,0.473689,0.091241,6.225065,2.461148,0.000000
47,0.442545,0.014757,5.572243,2.438973,0.000000
48,0.473355,0.027563,5.028944,2.428391,0.000000
49,0.491920,0.051199,3.904348,2.420799,0.000000
50,0.451464,0.019563,5.483737,2.413888,0.000000
51,0.447219,0.044552,4.339407,2.403138,0.000000
52,0.516406,0.032312,7.034405,2.379717,0.000000
53,0.457563,0.005869,5.637036,2.376062,0.000000
54,0.476331,0.213666,5.401651,2.357248,0.000000
55,0.494223,0.336776,7.121458,2.316064,0.000000
56,0.486718,0.015274,5.683456,2.305176,-0.000000
57,0.486712,0.010566,5.991074,2.296922,0.000000
58,0.513621,0.026416,5.032072,2.295903,0.000000
59,0.494851,0.010735,2.018723,2.286343,-0.000000
60,0.479815,0.002817,4.100374,2.279301,-0.000000
61,0.508782,0.045337,5.986981,2.280818,0.000000
62,0.504749,0.064515,10.532003,2.282865,0.000000
63,0.551176,0.029061,4.860540,2.261221,-0.000000
64,0.515064,0.004505,7.426075,2.232910,0.000000
65,0.525483,-0.000388,11.381330,2.228232,0.000000
66,0.518641,0.184188,7.809118,2.214622,0.000000
67,0.542659,0.020361,4.096044,2.189286,-0.000000
68,0.569631,0.023679,2.455523,2.166183,0.000000
69,0.525326,0.064731,1.708452,2.155097,0.000000
70,0.576789,0.013163,10.183782,2.158162,0.000000
71,0.603241,0.010873,5.667038,2.162344,-0.000000
72,0.581355,0.008011,1.030306,2.141577,-0.000000
73,0.553018,-0.006266,6.133269,2.130997,0.000000
74,0.667917,0.013451,17.256672,2.147826,-0.000000
75,0.566455,0.059747,2.739020,2.145993,0.000000
76,0.570496,0.040083,2.036115,2.114559,0.000000
77,0.666407,0.020326,1.341971,2.082881,-0.000000
78,0.557006,0.011447,5.821817,2.077841,0.000000
79,0.554588,0.012923,1.300686,2.061460,0.000000
80,0.688104,-0.001542,16.463615,2.050910,0.000000
81,0.647325,-0.000185,3.794562,2.052553,-0.000000
82,0.587763,0.033656,3.759777,2.060382,0.000000
83,0.585518,0.022129,7.855628,2.065818,0.000000
84,0.611751,0.001432,9.498453,2.083600,0.000000
85,0.628279,0.019836,18.167614,2.107602,0.000000
86,0.612588,0.010339,18.531105,2.105831,0.000000
87,0.676142,0.033543,19.368954,2.090811,-0.000000
88,0.724136,0.003152,17.693850,2.079956,0.000000
89,0.728807,0.022273,25.113436,2.089681,0.000000
90,0.726591,0.001174,31.156161,2.127707,-0.000000
91,0.735738,0.001330,16.451347,2.157170,0.000000
92,0.714638,-0.003807,10.166337,2.157107,-0.000000
93,0.684049,0.021957,9.781023,2.129191,0.000000
94,0.696486,0.001061,28.896124,2.125226,-0.000000
95,0.718965,0.009091,17.154212,2.144281,0.000000
96,0.727960,0.032636,20.229891,2.141636,-0.000000
97,0.729596,0.011720,34.339078,2.135927,0.000000
98,0.722894,0.009443,31.182610,2.137974,0.000000
99,0.717669,0.032132,25.966137,2.136615,0.000000
100,0.763983,-0.000637,31.356603,2.136994,-0.000000
101,0.724004,0.000456,41.201653,2.148352,0.000000
102,0.729722,0.002723,41.513161,2.158625,0.000000
103,0.732751,0.004462,41.338571,2.178038,-0.000000
104,0.744888,0.160579,11.116201,2.181066,0.000000
105,0.697284,0.029126,25.914079,2.152119,0.000000
106,0.713126,0.129541,16.020230,2.126547,-0.000000
107,0.697394,0.010190,19.217449,2.111652,0.000000
108,0.694181,0.020300,17.935710,2.112794,0.000000
109,0.713238,0.032676,14.966613,2.131169,-0.000000
110,0.739665,0.001743,31.201316,2.152215,-0.000000
111,0.718291,0.020777,24.700881,2.189293,0.000000
112,0.699831,0.018810,11.055876,2.214163,0.000000
113,0.730104,0.021986,26.126751,2.228110,-0.000000
114,0.713985,0.001689,25.644031,2.260442,0.000000
115,0.735460,0.016343,20.576836,2.273791,-0.000000
116,0.728797,0.008216,22.541075,2.270968,-0.000000
117,0.690070,0.039857,15.844131,2.267881,0.000000
118,0.690396,0.020752,11.502099,2.267412,0.000000
119,0.651682,0.131462,13.883095,2.270189,0.000000
120,0.685183,0.011429,6.836367,2.263434,-0.000000
121,0.666988,0.034139,4.343285,2.257312,-0.000000
122,0.725578,0.007943,18.451783,2.247067,-0.000000
123,0.703481,0.140122,11.147359,2.243339,0.000000
124,0.675293,0.008743,2.032285,2.229370,0.000000
125,0.636506,0.080930,4.304632,2.224553,0.000000
126,0.683180,0.063100,9.787084,2.214984,0.000000
127,0.692918,0.000740,5.681000,2.210295,-0.000000
128,0.708213,0.010481,13.801129,2.228038,0.000000
129,0.721947,0.031853,11.866908,2.256261,0.000000
130,0.738761,-0.003298,10.534215,2.274913,0.000000
131,0.719827,0.008390,13.393425,2.297416,0.000000
132,0.737253,0.001952,7.904329,2.320521,0.000000
133,0.705692,0.009621,5.403534,2.322308,0.000000
134,0.732036,-0.001955,4.254365,2.315212,0.000000
135,0.725834,0.144338,7.675668,2.316669,-0.000000
