batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.516067,0.217689,19.769963,2.858530,0.000000
2,0.494528,0.408995,14.045661,2.780718,0.000000
3,0.550832,0.306276,16.961559,2.728749,-0.000000
4,0.525211,0.960543,14.288150,2.682539,0.000000
5,0.514358,0.052915,13.973616,2.638150,0.000000
6,0.573385,0.284828,17.023340,2.606398,-0.000000
7,0.585341,0.045511,18.900187,2.579847,0.000000
8,0.599784,0.711258,22.021963,2.563684,-0.000000
9,0.605776,0.189641,23.222639,2.529955,0.000000
10,0.587556,0.215466,22.503387,2.509074,0.000000
11,0.629499,0.158869,26.378750,2.495789,-0.000000
12,0.674515,0.089705,26.657932,2.471686,0.000000
13,0.704306,0.069447,27.675156,2.442140,0.000000
14,0.723647,0.134873,24.453171,2.407472,-0.000000
15,0.719749,0.143892,24.178823,2.376149,0.000000
16,0.696117,0.046819,24.836970,2.343435,0.000000
17,0.708751,0.345927,25.554885,2.305151,-0.000000
18,0.728779,0.093170,28.735201,2.262402,-0.000000
19,0.740049,0.043566,30.495086,2.230870,0.000000
20,0.791847,0.039626,32.306285,2.210474,0.000000
21,0.758407,0.182883,35.683332,2.208891,0.000000
22,0.755455,0.009767,33.458876,2.213529,-0.000000
23,0.775150,0.021508,36.607994,2.218365,0.000000
24,0.773348,0.002910,35.756829,2.218177,-0.000000
25,0.788186,0.008214,40.101038,2.214884,-0.000000
26,0.788937,0.174747,34.740217,2.196923,-0.000000
27,0.788630,0.037643,37.711763,2.167621,-0.000000
28,0.766231,0.041491,32.310069,2.158709,0.000000
29,0.724020,0.020409,55.826622,2.155879,0.000000
30,0.790553,0.145671,34.289348,2.140727,0.000000
31,0.787576,0.185577,36.906916,2.126480,0.000000
32,0.784902,0.159292,38.157552,2.122891,0.000000
33,0.802922,0.005892,31.531473,2.118174,-0.000000
34,0.782019,0.015146,37.349208,2.124508,0.000000
35,0.806993,0.054375,39.913738,2.124683,0.000000
36,0.817578,0.058372,38.001813,2.118682,0.000000
37,0.813449,0.012149,35.200099,2.124456,-0.000000
38,0.796402,0.014492,36.048705,2.127008,-0.000000
39,0.787077,0.066546,34.438974,2.118188,0.000000
40,0.787481,-0.000952,29.873795,2.117558,-0.000000
41,0.806645,0.041350,34.153422,2.112816,-0.000000
42,0.798977,0.025572,34.619363,2.118875,0.000000
43,0.828630,0.007788,35.616412,2.118584,0.000000
44,0.825911,0.048264,33.032889,2.095618,0.000000
45,0.827541,0.030800,34.322331,2.086222,-0.000000
46,0.829651,-0.004012,35.271027,2.083308,0.000000
47,0.828386,0.036246,32.375925,2.082723,-0.000000
48,0.833297,0.052923,34.091869,2.074722,0.000000
49,0.829516,7.026652,35.957351,2.072889,-0.000000
50,0.802369,0.044411,43.393119,2.053246,0.000000
51,0.822189,0.022910,41.881653,2.024726,0.000000
52,0.779234,0.023663,58.888747,1.999083,-0.000000
53,0.777240,0.026901,56.844533,2.002807,-0.000000
54,0.811686,0.041921,39.898022,1.997902,-0.000000
55,0.829084,0.041556,45.914137,1.979529,0.000000
56,0.754401,-0.000409,74.264956,1.975939,-0.000000
57,0.816692,0.008940,46.697524,1.989402,-0.000000
58,0.797917,0.004734,56.872082,1.994127,0.000000
59,0.826250,0.017802,38.661109,1.998097,0.000000
60,0.759299,0.041271,62.411791,2.004995,0.000000
61,0.815505,0.025871,39.460586,1.997592,0.000000
62,0.820636,0.038093,39.269022,2.003198,0.000000
63,0.827166,0.053854,34.432077,1.985752,0.000000
64,0.817977,0.003422,33.171311,1.978198,-0.000000
65,0.831318,0.007767,42.090865,1.973988,0.000000
66,0.803163,0.018329,58.791145,1.961086,0.000000
67,0.755335,0.007941,52.377516,1.941876,0.000000
68,0.750149,0.009948,50.187938,1.926304,-0.000000
69,0.723252,0.015983,42.937027,1.919435,0.000000
70,0.762916,0.074959,43.102451,1.903396,0.000000
71,0.790655,0.011430,34.138539,1.888332,-0.000000
72,0.842646,0.015358,30.143244,1.874564,-0.000000
73,0.820714,0.005739,30.046723,1.876726,-0.000000
74,0.797259,0.021773,37.840719,1.888858,0.000000
75,0.833685,0.000287,28.115833,1.904743,-0.000000
76,0.791959,0.039447,42.215502,1.918839,0.000000
77,0.750765,0.039651,48.669127,1.905577,0.000000
78,0.780992,0.032178,44.270495,1.886387,0.000000
79,0.787093,0.040122,41.488013,1.878173,-0.000000
80,0.772000,0.022277,36.702331,1.876108,-0.000000
81,0.746804,0.045617,33.395112,1.858572,0.000000
82,0.775420,0.019875,41.945642,1.831107,0.000000
83,0.780084,0.012599,33.451219,1.802760,0.000000
84,0.779120,0.053655,36.006094,1.783965,0.000000
85,0.766049,0.046824,31.382471,1.776574,-0.000000
86,0.822976,0.031321,28.299646,1.770830,0.000000
87,0.787616,0.001506,30.102448,1.774940,0.000000
88,0.817801,0.164119,26.461526,1.788122,0.000000
89,0.809847,0.040007,26.882291,1.793371,0.000000
90,0.800488,0.022574,28.797094,1.791034,-0.000000
91,0.819639,0.017432,25.064548,1.796870,0.000000
92,0.814214,0.013439,26.255747,1.808588,-0.000000
93,0.821438,0.024307,23.574263,1.823180,-0.000000
94,0.818213,0.008603,34.821605,1.818662,0.000000
95,0.816728,0.050030,28.926444,1.812333,0.000000
96,0.806553,0.011578,32.837679,1.811329,-0.000000
97,0.817486,0.013101,26.751765,1.814672,-0.000000
98,0.813660,0.093783,28.984559,1.811959,0.000000
99,0.807573,0.076986,20.822893,1.800956,0.000000
100,0.814485,0.014754,27.392967,1.805627,0.000000
101,0.808915,-0.000854,25.700243,1.816325,0.000000
102,0.815633,0.003885,22.859952,1.802151,-0.000000
103,0.811217,0.012603,27.502994,1.781669,-0.000000
104,0.815647,0.009533,23.585330,1.772183,-0.000000
105,0.810799,0.005724,34.389645,1.758710,-0.000000
106,0.817488,0.021346,42.517621,1.759248,-0.000000
107,0.819537,0.011560,43.792502,1.757836,0.000000
108,0.818550,0.000343,33.827613,1.749691,-0.000000
109,0.820778,0.023732,30.659297,1.752580,-0.000000
110,0.815587,0.046634,30.020899,1.732814,0.000000
111,0.815262,0.014433,27.590904,1.733309,-0.000000
112,0.823487,0.000567,29.921151,1.765002,-0.000000
113,0.820780,0.024081,25.478653,1.755031,-0.000000
114,0.817651,0.017567,24.069077,1.716785,-0.000000
115,0.825113,0.025780,30.356130,1.701345,0.000000
116,0.818299,1.110341,23.772454,1.693226,-0.000000
117,0.817746,0.022011,21.608302,1.696764,0.000000
118,0.812278,0.008574,21.813705,1.697645,0.000000
119,0.809137,0.046867,18.622812,1.693236,0.000000
120,0.819509,0.014219,25.598405,1.681477,-0.000000
121,0.820469,0.015248,28.242753,1.685052,-0.000000
122,0.819747,-0.000133,28.117279,1.703340,0.000000
123,0.823493,0.008923,31.595176,1.708992,-0.000000
124,0.824526,-0.003578,27.582739,1.716746,0.000000
125,0.823934,0.008999,37.804800,1.747145,-0.000000
126,0.800659,0.009289,46.657091,1.758630,0.000000
127,0.822855,-0.001375,45.410473,1.775528,-0.000000
128,0.822666,0.002923,38.749357,1.796381,0.000000
129,0.829059,0.003318,44.900216,1.804281,0.000000
130,0.824499,0.001984,39.852924,1.819503,-0.000000
131,0.819711,-0.001707,34.382442,1.826993,0.000000
132,0.822109,0.036334,35.228989,1.838355,0.000000
133,0.825861,0.011499,27.073050,1.849800,-0.000000
134,0.818532,0.000109,26.635782,1.851741,0.000000
135,0.814741,0.003577,43.816297,1.834027,0.000000
136,0.827826,0.001394,44.587794,1.819961,0.000000
137,0.824711,0.048161,40.157412,1.827733,-0.000000
138,0.824004,0.004602,50.971389,1.829914,-0.000000
139,0.827666,0.008980,41.966002,1.831761,0.000000
140,0.826622,0.010738,38.485056,1.848882,0.000000
141,0.820974,0.007439,40.099659,1.845928,-0.000000
142,0.828768,0.026730,42.843871,1.828891,-0.000000
143,0.802181,0.134542,41.049963,1.817212,-0.000000
144,0.829032,0.006560,38.478393,1.814727,-0.000000
145,0.803738,0.060546,43.346391,1.827859,0.000000
146,0.831828,0.008210,39.494848,1.841292,-0.000000
147,0.836529,0.001205,38.569308,1.837390,0.000000
148,0.834830,0.036588,43.669565,1.832751,0.000000
149,0.816546,0.002572,42.839815,1.844665,0.000000
150,0.835772,0.008559,46.457047,1.846992,0.000000
151,0.836442,0.001709,46.028405,1.841070,-0.000000
152,0.823724,0.012229,54.717081,1.849485,-0.000000
153,0.824334,0.011469,43.788647,1.856148,-0.000000
154,0.840163,0.115878,43.868501,1.877261,0.000000
155,0.817565,0.000127,43.426265,1.904300,-0.000000
156,0.822059,0.002707,42.976208,1.918921,0.000000
157,0.838197,0.025275,42.051025,1.920932,-0.000000
158,0.841987,0.085573,43.414685,1.906907,0.000000
159,0.843793,0.062855,44.097480,1.903009,-0.000000
160,0.843298,0.006288,43.545469,1.910714,-0.000000
161,0.836654,0.011750,44.613611,1.902575,-0.000000
162,0.836382,-0.000238,45.504264,1.896878,-0.000000
163,0.804723,0.010703,52.291834,1.908892,0.000000
164,0.822546,0.015027,41.905991,1.918159,-0.000000
165,0.788322,0.101604,49.849893,1.908542,-0.000000
166,0.834278,0.010978,40.420844,1.902016,0.000000
167,0.796586,0.376510,48.947798,1.916842,0.000000
168,0.827751,0.011938,39.689322,1.917459,-0.000000
169,0.780942,0.201978,46.300297,1.897907,0.000000
170,0.812748,0.060527,38.148235,1.881737,0.000000
171,0.818273,0.017252,38.679644,1.869513,0.000000
172,0.790138,0.022781,45.774528,1.853307,-0.000000
173,0.835304,0.019842,37.922871,1.851979,0.000000
174,0.839722,0.020745,39.316791,1.855931,-0.000000
175,0.840800,0.005372,40.947698,1.860349,-0.000000
176,0.838360,0.024101,39.825108,1.876555,-0.000000
177,0.840112,0.015859,40.461286,1.873517,-0.000000
178,0.836619,0.003032,41.212651,1.878729,-0.000000
179,0.840986,0.000827,39.999271,1.863273,0.000000
180,0.846418,0.022727,41.447940,1.849267,-0.000000
181,0.846470,0.088456,43.170420,1.858789,-0.000000
182,0.786262,0.009917,52.966328,1.858193,0.000000
183,0.834616,0.009135,40.816353,1.865085,-0.000000
184,0.818781,0.045386,41.410296,1.871107,0.000000
185,0.703622,0.053836,80.516968,1.860871,0.000000
186,0.789876,-0.004800,44.291797,1.868693,0.000000
187,0.813273,0.013958,32.058051,1.873104,-0.000000
188,0.826307,0.032726,23.553274,1.865685,-0.000000
189,0.820239,0.021306,19.762935,1.859901,-0.000000
190,0.828758,0.037621,20.995466,1.853718,0.000000
191,0.812080,0.032612,15.852027,1.865006,-0.000000
192,0.791171,-0.001622,9.999138,1.874121,-0.000000
193,0.781857,0.055043,20.160042,1.879122,0.000000
194,0.816498,0.155676,13.230962,1.883896,-0.000000
195,0.810624,0.126779,7.994487,1.880216,-0.000000
196,0.812569,0.164746,8.984000,1.863245,0.000000
197,0.809710,0.032265,10.425982,1.855327,-0.000000
198,0.779988,0.004760,39.721098,1.847658,0.000000
199,0.799991,0.172900,23.718507,1.859801,0.000000
200,0.825956,-0.001412,13.932869,1.880363,0.000000
201,0.829381,0.019028,20.357589,1.887794,0.000000
202,0.827197,0.041431,7.965097,1.880825,0.000000
203,0.821776,0.082568,8.931590,1.874654,0.000000
204,0.810503,0.063339,7.416030,1.834366,0.000000
205,0.823325,0.021825,13.637138,1.796043,-0.000000
206,0.829729,0.027640,10.254186,1.788057,0.000000
207,0.831989,0.000830,18.388963,1.804744,0.000000
208,0.835513,0.030338,15.336189,1.799211,-0.000000
209,0.839630,0.015673,12.009665,1.803840,-0.000000
210,0.837346,0.009227,8.094685,1.803162,-0.000000
211,0.835353,-0.001947,14.072519,1.780667,0.000000
212,0.826632,0.008140,8.029610,1.768693,-0.000000
213,0.819701,-0.000536,30.855456,1.766639,0.000000
214,0.824707,0.073389,7.375505,1.764641,-0.000000
215,0.837699,0.040316,13.403698,1.756457,-0.000000
216,0.827630,0.019843,6.873299,1.746197,0.000000
217,0.833534,0.082657,6.370049,1.732258,-0.000000
218,0.845664,0.055446,14.907706,1.723064,0.000000
219,0.845412,0.051049,18.395595,1.716680,0.000000
220,0.841925,0.990907,6.808678,1.698059,0.000000
221,0.849806,0.035347,60.723354,1.680201,-0.000000
222,0.850750,-0.002923,60.370404,1.670916,0.000000
223,0.850427,0.003150,45.080042,1.680129,-0.000000
224,0.812930,0.003883,66.348289,1.682636,-0.000000
225,0.849642,-0.002245,53.280271,1.699074,0.000000
226,0.816770,0.060369,63.991832,1.729134,0.000000
227,0.853646,0.007823,44.859621,1.725297,-0.000000
228,0.843828,0.013742,50.784085,1.710301,-0.000000
229,0.855862,-0.003349,54.690862,1.707367,-0.000000
230,0.855068,0.013390,50.561363,1.716802,0.000000
231,0.841529,-0.000296,48.772026,1.717573,0.000000
232,0.717770,0.085111,73.616728,1.719752,0.000000
233,0.713290,0.048144,53.359041,1.716125,0.000000
234,0.742662,0.014112,47.649736,1.704565,0.000000
235,0.855531,0.103916,30.203307,1.686465,-0.000000
236,0.853460,0.020658,27.260003,1.684139,-0.000000
237,0.833004,0.051558,20.326157,1.677960,-0.000000
238,0.850422,0.272116,16.481025,1.658547,-0.000000
239,0.696085,0.014605,46.986081,1.649228,0.000000
240,0.695983,0.012080,36.787815,1.645763,-0.000000
241,0.811645,0.002825,41.296945,1.651277,0.000000
242,0.839859,0.028944,38.277665,1.648954,0.000000
243,0.853882,0.013221,43.317146,1.648203,-0.000000
244,0.840520,0.002600,43.076191,1.639318,0.000000
245,0.816326,0.008921,46.009763,1.629412,0.000000
246,0.852722,0.006365,41.678541,1.631292,0.000000
247,0.834262,0.051976,41.297388,1.635950,-0.000000
248,0.840019,0.018485,42.235105,1.643887,0.000000
249,0.852973,0.009726,43.263193,1.650519,-0.000000
250,0.858365,0.008425,43.274620,1.661489,0.000000
251,0.855644,0.009910,44.576314,1.662530,0.000000
252,0.856862,-0.001007,43.981844,1.654300,-0.000000
253,0.845263,-0.002173,47.067539,1.654355,-0.000000
254,0.854153,-0.001078,44.808330,1.650504,0.000000
255,0.840805,0.014199,46.210416,1.656767,0.000000
256,0.697374,0.006591,77.979018,1.652753,0.000000
257,0.813358,0.035202,46.645230,1.654000,0.000000
258,0.849801,0.001836,41.498655,1.674862,-0.000000
259,0.856394,0.159711,40.471929,1.687885,-0.000000
260,0.855620,0.075750,44.884786,1.682583,0.000000
261,0.849565,0.091045,37.333655,1.673512,-0.000000
262,0.853812,0.009563,36.727942,1.672309,-0.000000
263,0.780191,0.009463,48.698455,1.686269,0.000000
264,0.850016,0.011509,38.614607,1.693539,-0.000000
265,0.847954,0.002437,42.903455,1.696451,-0.000000
266,0.836108,0.004926,34.938125,1.709967,0.000000
267,0.855343,0.158118,40.740460,1.722897,0.000000
268,0.857318,0.021783,35.245057,1.730230,-0.000000
269,0.857664,0.006722,40.930475,1.739740,0.000000
