batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.448432,0.138981,12.909372,2.874814,0.000000
2,0.607249,0.568561,25.116919,2.808218,-0.000000
3,0.501898,0.214303,17.084683,2.739370,-0.000000
4,0.626672,0.074334,23.229050,2.684668,0.000000
5,0.640391,0.130351,23.551062,2.623978,0.000000
6,0.737101,0.258348,31.733363,2.561033,0.000000
7,0.686342,0.230247,25.256067,2.509360,0.000000
8,0.646315,0.149748,19.147662,2.457297,-0.000000
9,0.641619,0.065001,21.514058,2.408159,0.000000
10,0.650018,0.098084,26.402817,2.367823,0.000000
11,0.774774,0.025739,28.545038,2.337580,0.000000
12,0.743630,0.085253,26.601287,2.297425,0.000000
13,0.748741,0.068380,31.317468,2.242683,-0.000000
14,0.678533,0.015476,34.348538,2.217561,0.000000
15,0.653890,0.010643,37.986228,2.207451,0.000000
16,0.717783,0.034428,34.791213,2.183871,0.000000
17,0.750102,0.053373,33.335222,2.146694,0.000000
18,0.774962,0.018260,30.388098,2.114800,0.000000
19,0.760162,0.286790,31.083593,2.086026,-0.000000
20,0.767719,0.047987,32.131036,2.058699,0.000000
21,0.763609,0.011648,32.625092,2.045101,0.000000
22,0.732782,0.021419,40.625127,2.036509,-0.000000
23,0.764781,0.060897,41.077466,2.031339,0.000000
24,0.666752,0.052504,47.750735,2.040660,0.000000
25,0.675040,0.009364,44.874871,2.046238,0.000000
26,0.633824,0.063800,44.137224,2.052857,0.000000
27,0.612410,0.253789,49.645879,2.055514,-0.000000
28,0.663661,0.064839,39.280130,2.053502,-0.000000
29,0.677572,0.006719,39.791136,2.052386,-0.000000
30,0.696934,0.049838,40.888914,2.039433,-0.000000
31,0.673403,0.001026,27.385279,2.020800,0.000000
32,0.606501,0.004206,30.710751,2.007190,-0.000000
33,0.705470,0.020093,36.322456,2.000195,-0.000000
34,0.772826,11.333790,32.383195,1.985300,0.000000
35,0.774920,0.072937,34.302186,1.962324,-0.000000
36,0.770899,0.109827,34.008577,1.940333,0.000000
37,0.800478,0.008006,34.530280,1.930997,0.000000
38,0.796442,0.053474,32.806483,1.924476,-0.000000
39,0.803616,0.157023,31.747089,1.908000,-0.000000
40,0.811363,0.009847,37.565247,1.893196,0.000000
41,0.812302,0.107779,33.806542,1.899274,-0.000000
42,0.805495,0.001104,29.657465,1.916789,0.000000
43,0.803193,0.009469,30.743343,1.922459,0.000000
44,0.793568,0.009527,37.627118,1.921740,-0.000000
45,0.797248,0.018137,25.454495,1.928506,-0.000000
46,0.804635,0.102622,33.628933,1.934400,0.000000
47,0.794323,0.197456,29.620684,1.939614,0.000000
48,0.760053,0.060271,50.248388,1.938298,-0.000000
49,0.803305,0.315280,33.486902,1.936263,0.000000
50,0.821348,0.050510,35.386904,1.923469,0.000000
51,0.828715,0.001125,33.202519,1.919509,0.000000
52,0.826406,0.013879,36.344198,1.932814,-0.000000
53,0.726715,0.002665,90.560725,1.953364,0.000000
54,0.792365,0.048165,59.994407,1.956522,0.000000
55,0.789201,0.141339,67.109780,1.955163,0.000000
56,0.830979,0.131929,44.658777,1.936797,-0.000000
57,0.811999,0.039890,43.708912,1.912313,0.000000
58,0.823711,0.093495,43.217392,1.903232,0.000000
59,0.839251,0.000362,47.686698,1.910704,-0.000000
60,0.816706,-0.004004,46.955446,1.928280,-0.000000
61,0.814712,0.002987,46.277523,1.934658,0.000000
62,0.831154,0.100597,42.145483,1.940551,-0.000000
