batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.503557,0.286951,18.382632,2.870453,-0.000000
2,0.511033,0.367606,15.939846,2.807187,0.000000
3,0.634270,0.289932,25.726219,2.739978,0.000000
4,0.472082,0.448490,14.158575,2.670006,-0.000000
5,0.650644,0.132542,24.383098,2.597206,0.000000
6,0.675434,0.219463,25.573884,2.527846,-0.000000
7,0.703627,0.053663,28.252392,2.468400,0.000000
8,0.680516,0.080914,25.438804,2.432090,-0.000000
9,0.597563,0.055942,22.812296,2.403456,-0.000000
10,0.667931,0.116151,26.377023,2.386707,0.000000
11,0.722228,0.067849,25.628855,2.360252,-0.000000
12,0.743341,0.080879,25.418272,2.342887,-0.000000
13,0.772542,0.079215,28.769643,2.311234,-0.000000
14,0.741587,0.049325,28.908112,2.267788,-0.000000
15,0.788050,0.080018,29.354416,2.244408,0.000000
16,0.757825,0.040446,31.132742,2.209968,0.000000
17,0.765940,0.272465,34.134137,2.172728,0.000000
18,0.772172,0.084354,32.088456,2.155448,0.000000
19,0.760473,0.060200,34.573012,2.146471,0.000000
20,0.750834,0.352048,33.060197,2.135099,-0.000000
21,0.790023,0.031809,33.470423,2.121384,0.000000
22,0.789607,0.124683,38.086348,2.084359,-0.000000
23,0.799815,0.118723,37.290759,2.050443,0.000000
24,0.801905,0.022447,36.343715,2.035926,-0.000000
25,0.816083,0.008057,35.783805,2.031124,-0.000000
26,0.805216,0.051305,39.127324,2.019503,-0.000000
27,0.769038,0.010820,42.674487,2.007432,0.000000
28,0.795177,0.003501,27.018049,1.991532,0.000000
29,0.813886,0.036241,23.389438,1.972867,0.000000
30,0.827703,0.023240,35.483226,1.959487,0.000000
31,0.812770,0.010286,39.230570,1.957148,-0.000000
32,0.822367,0.045494,45.403991,1.960262,-0.000000
33,0.809427,0.021393,33.570484,1.953475,-0.000000
34,0.839866,0.050948,40.444626,1.944165,-0.000000
35,0.839603,0.008634,39.475030,1.942546,0.000000
36,0.797719,0.170963,54.398223,1.932832,-0.000000
37,0.839005,0.207451,31.351560,1.902710,0.000000
