batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.457172,0.739826,14.897655,2.862711,-0.000000
2,0.599804,0.231119,23.843717,2.793011,-0.000000
3,0.593347,1.521395,22.522316,2.730902,-0.000000
4,0.580481,0.351300,18.968380,2.668322,0.000000
5,0.670639,0.288091,25.930513,2.605139,-0.000000
6,0.638074,0.121778,25.142281,2.537229,-0.000000
7,0.627004,0.266700,21.456597,2.500633,-0.000000
8,0.716124,0.061176,25.787715,2.460324,0.000000
9,0.698484,0.111141,23.264366,2.424022,-0.000000
10,0.752129,0.032136,27.673581,2.388211,0.000000
11,0.754023,0.055909,26.684971,2.349697,-0.000000
12,0.802847,0.119031,30.199201,2.321970,-0.000000
13,0.785646,0.059235,27.385989,2.299783,0.000000
14,0.711873,0.087156,29.585032,2.273700,0.000000
15,0.775561,0.019672,27.969418,2.256573,-0.000000
16,0.750195,0.105010,27.631427,2.234075,-0.000000
17,0.766414,0.110076,32.728660,2.213641,0.000000
18,0.733350,0.074201,30.933771,2.217516,-0.000000
19,0.725437,0.083364,35.562913,2.221350,0.000000
20,0.766685,0.671187,35.092894,2.201368,-0.000000
21,0.756635,0.053712,33.432319,2.172857,-0.000000
22,0.776329,0.020493,39.174539,2.154329,-0.000000
23,0.774638,0.009506,33.590534,2.136905,-0.000000
24,0.682500,0.024066,19.078517,2.121177,-0.000000
25,0.727847,0.027679,27.059914,2.113087,0.000000
26,0.771642,0.025975,23.264414,2.117019,0.000000
27,0.794139,0.227229,30.944467,2.124753,0.000000
28,0.784676,0.018662,23.148286,2.112285,0.000000
29,0.817564,0.058775,34.917232,2.099755,0.000000
30,0.773009,0.300368,50.529059,2.079789,-0.000000
31,0.829606,0.058022,43.120028,2.051130,0.000000
32,0.781149,0.019989,64.580761,2.023120,0.000000
33,0.843856,0.060638,41.771595,2.014648,-0.000000
34,0.797195,-0.002631,51.141433,2.021145,0.000000
35,0.845935,0.747540,44.284072,2.023404,-0.000000
36,0.841402,0.008355,43.868270,2.008975,-0.000000
37,0.793514,0.023861,65.738879,1.999731,-0.000000
38,0.847595,0.065898,40.862548,1.998564,0.000000
39,0.843741,0.021215,34.279384,1.994506,-0.000000
40,0.706427,0.061163,104.838304,1.994376,0.000000
41,0.809464,0.032270,53.465755,1.996024,0.000000
42,0.805871,0.037436,54.822249,1.991459,-0.000000
43,0.832918,0.014335,41.727001,1.984303,-0.000000
44,0.807236,0.086159,50.597355,1.966197,0.000000
45,0.790852,0.018992,60.912760,1.973751,0.000000
46,0.727322,0.035861,76.149748,1.967299,-0.000000
47,0.754315,0.014458,58.708396,1.948231,-0.000000
48,0.780416,0.032686,46.022326,1.922614,0.000000
49,0.774297,0.047575,52.520020,1.889881,0.000000
50,0.839798,0.044296,32.285489,1.873564,-0.000000
51,0.834317,0.011352,31.820902,1.858566,0.000000
52,0.837706,0.005416,32.312683,1.869103,-0.000000
53,0.793414,0.033309,48.597413,1.882186,0.000000
54,0.829034,0.008072,41.187029,1.894506,-0.000000
55,0.843766,0.192200,36.277506,1.902359,0.000000
56,0.846206,0.057882,44.307048,1.893715,-0.000000
57,0.802802,0.043494,56.495571,1.891536,-0.000000
58,0.839730,-0.000182,42.577752,1.895761,0.000000
59,0.844155,0.044620,45.759418,1.885654,0.000000
60,0.839959,0.029916,42.490736,1.882033,0.000000
61,0.759376,0.035751,57.196708,1.882690,0.000000
62,0.785804,0.090684,44.706652,1.881099,0.000000
63,0.634078,0.064915,75.439554,1.864111,-0.000000
64,0.731643,0.045816,39.674154,1.834008,0.000000
65,0.663969,0.124640,44.041326,1.817124,0.000000
66,0.588563,0.056686,41.406065,1.810255,-0.000000
67,0.577341,0.020432,33.942742,1.798570,-0.000000
68,0.566105,0.204178,30.017463,1.769244,-0.000000
69,0.569126,0.068356,21.215847,1.742322,0.000000
70,0.752240,0.037051,18.397026,1.712442,-0.000000
71,0.657979,0.019417,22.999670,1.689398,-0.000000
72,0.580401,0.000900,17.229373,1.704917,0.000000
73,0.631854,2.184601,17.980806,1.718627,-0.000000
74,0.566219,0.006219,13.193245,1.712380,-0.000000
75,0.624470,0.431158,15.611962,1.713725,-0.000000
76,0.631490,0.042733,15.724464,1.689836,0.000000
77,0.555145,0.016692,16.492204,1.669903,-0.000000
78,0.643099,0.023358,17.851647,1.662313,0.000000
79,0.573161,0.797775,16.906497,1.625588,0.000000
80,0.529786,0.048178,13.125519,1.601441,-0.000000
81,0.526203,0.324815,11.651963,1.586306,0.000000
82,0.546346,0.031100,6.078191,1.580052,-0.000000
83,0.537859,-0.001105,5.808511,1.587500,-0.000000
84,0.514975,0.013788,7.050031,1.593215,0.000000
85,0.578226,0.081321,6.724484,1.584490,-0.000000
86,0.626905,0.003729,6.469558,1.561751,0.000000
87,0.572208,0.009020,7.337501,1.549997,-0.000000
88,0.675307,-0.001117,10.900212,1.553566,0.000000
89,0.765142,0.025196,20.495458,1.548825,-0.000000
90,0.816147,0.086862,24.303954,1.552106,-0.000000
91,0.806177,-0.000209,23.313705,1.556915,-0.000000
92,0.782825,0.010694,25.595472,1.571565,0.000000
93,0.809760,0.083347,27.594931,1.591920,-0.000000
94,0.741937,0.001143,29.500194,1.585803,-0.000000
95,0.778028,0.010888,25.813240,1.580923,-0.000000
96,0.767453,0.007217,22.866905,1.571803,0.000000
97,0.751382,0.003790,18.173940,1.566105,-0.000000
98,0.784865,0.003036,19.202332,1.576850,-0.000000
99,0.739327,0.022945,18.654211,1.583442,0.000000
100,0.735199,-0.003109,16.179709,1.588193,-0.000000
101,0.766110,0.020403,17.813413,1.599897,-0.000000
102,0.733060,0.001946,15.323599,1.606917,-0.000000
