batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.419903,0.235777,8.022012,2.874223,0.000000
2,0.436272,0.207829,6.495927,2.820620,-0.000000
3,0.393521,0.193554,6.981354,2.781654,0.000000
4,0.422443,0.340443,3.467142,2.736982,-0.000000
5,0.399462,0.197060,8.769114,2.674865,0.000000
6,0.408480,0.190400,6.527607,2.606535,-0.000000
7,0.428425,0.119509,5.937673,2.530830,0.000000
8,0.440253,0.252611,6.287138,2.467255,-0.000000
9,0.484408,0.097367,5.168924,2.411755,0.000000
10,0.458517,0.081405,8.350402,2.356546,0.000000
11,0.487196,0.028280,8.403307,2.303423,0.000000
12,0.567201,0.065944,10.447818,2.250537,-0.000000
13,0.473117,0.181970,13.672973,2.201863,-0.000000
14,0.569758,0.042222,7.698553,2.166288,0.000000
15,0.616275,0.039911,6.247594,2.144179,-0.000000
16,0.587681,0.053379,13.794661,2.123647,-0.000000
17,0.667904,0.117194,10.839583,2.103360,-0.000000
18,0.586646,0.057034,28.487227,2.076747,0.000000
19,0.654409,0.230298,6.216106,2.033357,0.000000
20,0.499206,0.063694,35.873278,1.990233,0.000000
21,0.607960,0.006991,13.178298,1.970335,0.000000
22,0.561356,0.112225,9.953867,1.954079,0.000000
23,0.566195,0.085841,19.126359,1.935067,0.000000
24,0.634437,0.243163,4.167610,1.898913,0.000000
25,0.574501,0.040831,5.050416,1.877619,0.000000
26,0.607037,0.026880,6.709931,1.865094,0.000000
27,0.569050,0.037047,11.935477,1.857606,-0.000000
28,0.591177,0.064151,9.234928,1.842769,-0.000000
29,0.665864,0.037862,10.128275,1.828510,0.000000
30,0.620930,0.020443,7.997510,1.817628,-0.000000
31,0.654211,0.007010,11.161507,1.800977,0.000000
32,0.676925,0.035889,11.265994,1.797925,0.000000
33,0.673103,0.015800,15.532417,1.786078,0.000000
34,0.624733,0.024646,10.603342,1.780248,0.000000
35,0.641247,0.262680,6.465269,1.778389,0.000000
36,0.629228,0.025687,3.986054,1.764582,0.000000
37,0.626166,0.032624,3.930423,1.741908,-0.000000
38,0.665546,0.016217,5.630710,1.723757,0.000000
39,0.656611,0.013114,9.742345,1.715214,-0.000000
40,0.660732,0.015514,2.438849,1.705921,-0.000000
41,0.674961,0.016982,2.527726,1.700982,0.000000
42,0.660834,0.004288,13.606036,1.687192,0.000000
43,0.709628,0.002754,10.023535,1.684317,0.000000
44,0.677018,0.022194,4.670049,1.692763,0.000000
45,0.581073,0.014326,3.396621,1.687809,-0.000000
46,0.606194,0.009560,1.602170,1.663189,-0.000000
47,0.603366,-0.006120,7.598413,1.646448,0.000000
48,0.744753,0.013465,14.213328,1.634906,0.000000
49,0.717650,0.093644,10.480989,1.640115,-0.000000
50,0.725230,0.015652,5.034648,1.645083,0.000000
51,0.732161,0.002640,8.918161,1.652772,-0.000000
52,0.728780,0.005902,14.417563,1.657955,-0.000000
53,0.740440,0.009421,12.432461,1.647157,-0.000000
54,0.705161,0.030951,15.292667,1.628936,-0.000000
55,0.765414,0.000312,8.801977,1.631860,0.000000
56,0.710630,0.000810,9.739683,1.640260,0.000000
57,0.751364,0.016214,8.397043,1.655994,0.000000
58,0.716386,0.051931,8.998502,1.660796,0.000000
59,0.673929,0.014814,4.220601,1.658176,0.000000
60,0.700897,0.006573,7.533089,1.659443,-0.000000
61,0.669011,0.025864,3.243677,1.662245,0.000000
62,0.711497,0.013619,8.704352,1.644710,0.000000
63,0.709673,0.009447,4.627913,1.622950,-0.000000
64,0.629176,0.018133,19.676905,1.601550,-0.000000
65,0.587721,0.019005,6.850428,1.589273,0.000000
66,0.551411,0.144999,7.777184,1.572704,0.000000
67,0.614214,0.081981,9.057845,1.555898,0.000000
68,0.556672,0.006649,11.762044,1.540787,-0.000000
69,0.693143,0.234556,7.289253,1.528573,-0.000000
70,0.663499,0.000424,6.813239,1.523894,0.000000
