batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.461324,0.646704,9.891437,2.867129,0.000000
2,0.456876,0.079108,8.957036,2.815363,-0.000000
3,0.425792,0.150639,9.373031,2.781760,-0.000000
4,0.408334,0.159767,8.745176,2.736722,0.000000
5,0.416909,0.228855,9.153441,2.694981,-0.000000
6,0.433840,0.085848,9.810069,2.659886,0.000000
7,0.427594,0.155112,9.340572,2.621464,0.000000
8,0.409821,0.509849,10.380437,2.582205,-0.000000
9,0.388457,0.250427,9.579290,2.549369,-0.000000
10,0.411223,0.080026,10.818251,2.509969,0.000000
11,0.398904,0.096577,8.320449,2.468373,0.000000
12,0.430054,0.290831,8.345460,2.427936,-0.000000
13,0.400761,0.108247,7.309677,2.379666,-0.000000
14,0.423591,0.078753,8.110472,2.330881,-0.000000
15,0.404020,0.059658,5.261666,2.297913,0.000000
16,0.436606,0.088262,8.683876,2.254635,-0.000000
17,0.474790,0.200333,10.480933,2.213221,-0.000000
18,0.522099,0.322062,6.962524,2.172371,0.000000
19,0.470059,0.073412,9.216406,2.137421,0.000000
20,0.467963,0.037255,6.000761,2.121486,0.000000
21,0.492996,0.065198,9.652088,2.085800,0.000000
22,0.424964,0.068972,8.263254,2.034092,0.000000
23,0.464857,0.083555,9.218143,2.002243,-0.000000
24,0.470663,0.019420,6.924886,1.975010,-0.000000
25,0.504156,0.019918,10.089704,1.943962,0.000000
26,0.481575,0.044993,8.078041,1.917582,0.000000
27,0.554170,0.121801,4.971657,1.878641,-0.000000
28,0.538264,0.012337,6.897389,1.842881,0.000000
29,0.451051,0.040637,5.013552,1.816302,0.000000
30,0.547183,0.078021,5.817855,1.787947,0.000000
31,0.501897,0.035763,5.905109,1.779986,-0.000000
32,0.577849,0.039716,7.708214,1.754880,0.000000
33,0.552713,0.008946,8.492907,1.725021,0.000000
34,0.533598,0.018367,3.074292,1.722502,-0.000000
35,0.552878,0.057511,2.175943,1.717070,-0.000000
36,0.519284,0.003817,3.958367,1.700194,-0.000000
37,0.547265,0.003114,2.245288,1.689623,0.000000
38,0.573970,0.023723,4.331013,1.671744,0.000000
39,0.560336,-0.003539,3.725515,1.660281,0.000000
40,0.548635,0.001442,7.064203,1.662029,-0.000000
41,0.574771,0.023794,9.851144,1.668258,0.000000
42,0.554558,0.004843,5.686204,1.675386,0.000000
43,0.587963,0.015329,2.403619,1.678147,-0.000000
44,0.599791,0.018966,7.774971,1.677819,-0.000000
45,0.606172,0.125139,0.968312,1.674278,0.000000
46,0.590644,1.090949,5.076495,1.654948,0.000000
47,0.630611,0.011309,17.140272,1.646965,-0.000000
48,0.613690,0.004699,1.703606,1.657778,0.000000
49,0.610042,0.000431,11.292210,1.665567,0.000000
50,0.641353,0.043392,11.899063,1.671838,0.000000
51,0.657423,0.013487,30.075336,1.672520,-0.000000
52,0.633200,0.002032,24.942999,1.678651,-0.000000
53,0.699157,0.054183,19.228119,1.676082,-0.000000
54,0.714567,0.008482,31.770177,1.665411,-0.000000
55,0.733156,0.008630,26.415668,1.667544,0.000000
56,0.719719,0.003832,21.134519,1.677368,0.000000
57,0.707606,0.008001,14.801038,1.674521,0.000000
58,0.711602,0.011976,8.821638,1.663090,-0.000000
59,0.706527,0.008200,7.868849,1.640552,0.000000
60,0.672771,0.064283,27.832880,1.624828,0.000000
61,0.679784,0.006421,25.024854,1.621949,0.000000
62,0.722621,0.015902,19.391531,1.626874,0.000000
63,0.713686,0.012573,8.099774,1.641671,-0.000000
64,0.720624,0.003486,27.090886,1.657658,-0.000000
65,0.716633,0.002237,15.259634,1.659783,0.000000
66,0.701587,9.441360,23.968332,1.645457,0.000000
67,0.706921,-0.002692,19.080279,1.646628,0.000000
68,0.695074,0.014405,7.993511,1.635575,0.000000
69,0.702302,-0.002853,14.701460,1.610890,-0.000000
70,0.726306,0.029390,8.461915,1.603292,-0.000000
71,0.742847,0.077737,13.619370,1.595865,-0.000000
72,0.737904,0.018091,18.314614,1.596385,0.000000
73,0.714736,-0.003010,9.586855,1.608019,0.000000
74,0.735588,0.006791,12.545071,1.620722,0.000000
75,0.716792,0.083936,7.226242,1.615030,0.000000
76,0.697095,0.011941,5.764130,1.607955,-0.000000
77,0.673541,0.029541,3.570604,1.596485,-0.000000
78,0.695932,0.011660,9.089341,1.583897,0.000000
79,0.667191,0.024229,4.926438,1.568414,0.000000
80,0.713899,0.006758,12.732952,1.566951,0.000000
81,0.725544,0.001965,15.051326,1.595846,-0.000000
82,0.704069,0.001754,4.631435,1.609578,0.000000
83,0.707900,0.010847,10.081446,1.610348,0.000000
84,0.705637,0.038141,5.352684,1.600155,0.000000
85,0.694337,0.010023,3.864234,1.603640,0.000000
86,0.681313,0.022739,2.820080,1.617755,-0.000000
87,0.712578,0.012048,3.289089,1.609958,-0.000000
88,0.701627,0.057956,5.688439,1.600357,0.000000
89,0.695247,0.104024,3.071658,1.594707,-0.000000
90,0.715280,0.019521,4.958387,1.583675,0.000000
91,0.712314,0.000848,6.008371,1.583899,-0.000000
92,0.711002,-0.000009,3.200193,1.596909,0.000000
93,0.675309,-0.002169,6.349581,1.608018,-0.000000
94,0.682409,0.013834,3.033377,1.613335,-0.000000
95,0.707284,0.081175,4.114913,1.605735,-0.000000
96,0.644678,0.091060,3.232207,1.600641,-0.000000
97,0.671988,0.035114,0.644036,1.583167,0.000000
98,0.674871,0.068469,5.970962,1.562820,0.000000
99,0.660216,0.062044,4.427193,1.556362,-0.000000
100,0.651624,0.148707,12.817945,1.562381,-0.000000
101,0.651236,0.028795,4.519175,1.568994,0.000000
102,0.678685,0.040073,4.491771,1.570271,-0.000000
103,0.658004,0.036471,4.945708,1.563984,-0.000000
104,0.643790,0.034655,2.077801,1.535340,0.000000
105,0.614454,0.041108,7.967437,1.505533,-0.000000
106,0.622446,0.066732,0.989536,1.499180,-0.000000
107,0.584124,0.091532,0.663008,1.481719,0.000000
108,0.560675,0.060631,1.715730,1.472421,0.000000
109,0.625474,0.004076,2.256167,1.472837,-0.000000
110,0.623348,0.117825,1.203360,1.448698,-0.000000
111,0.659152,0.010297,1.260278,1.428056,-0.000000
112,0.717573,0.114897,5.728987,1.436414,-0.000000
113,0.719521,0.007857,3.795297,1.435902,-0.000000
114,0.693903,0.182261,7.321162,1.422889,0.000000
115,0.712396,0.000607,5.326941,1.429064,0.000000
116,0.724726,0.010472,4.491420,1.437036,-0.000000
117,0.712293,0.020632,2.897207,1.418892,-0.000000
118,0.708946,0.031373,2.120015,1.411402,0.000000
119,0.732849,0.006070,6.235814,1.406525,-0.000000
120,0.757316,0.064724,7.534974,1.411746,0.000000
121,0.702268,0.001247,2.132227,1.421184,0.000000
122,0.721834,0.022999,11.203277,1.416550,-0.000000
123,0.687173,0.001444,2.903665,1.415173,0.000000
124,0.682474,0.008300,28.305043,1.411368,0.000000
125,0.706753,0.001379,22.909973,1.404341,0.000000
126,0.711935,-0.000097,26.870363,1.406809,0.000000
127,0.680471,0.015502,28.956518,1.411182,0.000000
128,0.621392,0.008913,25.555914,1.425108,-0.000000
129,0.700769,0.004961,21.057719,1.415753,-0.000000
130,0.724297,0.014955,9.419330,1.399080,-0.000000
131,0.619321,0.011006,24.648442,1.390856,-0.000000
132,0.653346,0.008078,9.964800,1.395234,0.000000
133,0.701406,0.829951,5.014271,1.397808,0.000000
134,0.653226,0.020977,4.063919,1.396589,0.000000
135,0.686547,0.025690,2.860612,1.387088,-0.000000
136,0.606572,0.030213,2.033927,1.375010,-0.000000
137,0.589971,0.033870,1.119338,1.354326,-0.000000
138,0.664181,0.013072,1.038381,1.341918,0.000000
139,0.667942,0.017579,5.097150,1.349033,-0.000000
140,0.708394,0.013766,8.074415,1.365043,-0.000000
141,0.735696,0.047031,5.317340,1.375569,-0.000000
142,0.713702,0.020150,9.000721,1.369295,0.000000
143,0.740703,0.040102,7.500690,1.354520,0.000000
144,0.735612,0.062877,4.836756,1.348847,0.000000
145,0.695713,0.021199,8.139792,1.340916,0.000000
146,0.743666,-0.009784,11.051917,1.347763,0.000000
147,0.741712,0.006037,15.802379,1.345265,-0.000000
148,0.791379,1.323798,9.947172,1.335883,0.000000
149,0.711222,0.006577,4.439354,1.335086,0.000000
